date;France rugby union team;Brad Pitt;Death and dying;Tennessee;air travel;isPartial
2022-01-02;0;55;1;31;34;False
2022-01-09;1;54;1;34;37;False
2022-01-16;0;51;1;42;29;False
2022-01-23;0;55;1;37;32;False
2022-01-30;0;51;1;28;36;False
2022-02-06;1;47;2;31;36;False
2022-02-13;0;49;1;27;36;False
2022-02-20;0;47;2;27;37;False
2022-02-27;0;46;1;23;33;False
2022-03-06;0;49;1;30;34;False
2022-03-13;0;45;1;32;34;False
2022-03-20;0;43;2;31;33;False
2022-03-27;0;48;2;27;35;False
2022-04-03;0;56;1;30;32;False
2022-04-10;0;67;1;32;28;False
2022-04-17;1;64;1;26;31;False
2022-04-24;0;48;1;26;32;False
2022-05-01;0;51;2;31;33;False
2022-05-08;0;47;1;29;34;False
2022-05-15;0;53;2;35;35;False
2022-05-22;0;77;1;33;33;False
2022-05-29;0;80;2;31;34;False
2022-06-05;0;74;1;39;38;False
2022-06-12;0;52;1;28;33;False
2022-06-19;0;74;1;30;31;False
2022-06-26;0;49;0;30;33;False
2022-07-03;0;49;1;34;35;False
2022-07-10;0;67;0;36;36;False
2022-07-17;1;100;1;33;34;False
2022-07-24;0;76;1;35;34;False
2022-07-31;0;92;1;35;31;False
2022-08-07;0;92;1;36;30;False
2022-08-14;0;85;1;28;29;False
2022-08-21;0;66;1;28;26;False
2022-08-28;0;62;1;32;28;False
2022-09-04;0;71;2;29;30;False
2022-09-11;0;81;2;34;26;False
2022-09-18;0;74;1;33;25;False
2022-09-25;1;63;1;32;26;False
2022-10-02;0;83;1;34;25;False
2022-10-09;0;58;1;45;24;False
2022-10-16;0;59;2;32;22;False
2022-10-23;1;76;1;34;20;False
2022-10-30;0;55;1;37;20;False
2022-11-06;0;64;1;41;23;False
2022-11-13;0;49;1;35;19;False
2022-11-20;0;41;1;28;24;False
2022-11-27;0;41;1;38;23;False
2022-12-04;0;43;1;30;20;False
2022-12-11;1;47;1;28;20;False
2022-12-18;0;63;1;42;19;False
2022-12-25;0;68;1;39;25;False
2023-01-01;0;56;1;34;29;False
2023-01-08;0;77;1;37;27;False
2023-01-15;1;71;1;47;26;False
2023-01-22;0;63;1;41;24;False
2023-01-29;2;57;0;32;26;False
