date;Malnutrition;Cattle;Rail strikes;Australian theatre;air travel;isPartial
2022-01-02;1;15;0;0;8;False
2022-01-09;1;15;0;0;10;False
2022-01-16;2;15;0;0;7;False
2022-01-23;2;16;0;0;8;False
2022-01-30;2;16;0;0;9;False
2022-02-06;2;16;0;0;9;False
2022-02-13;2;16;0;0;9;False
2022-02-20;2;17;0;0;9;False
2022-02-27;2;15;1;0;8;False
2022-03-06;2;14;0;0;9;False
2022-03-13;2;16;0;0;8;False
2022-03-20;2;17;0;0;8;False
2022-03-27;2;15;0;0;9;False
2022-04-03;1;14;0;0;8;False
2022-04-10;2;16;0;0;7;False
2022-04-17;2;15;0;0;8;False
2022-04-24;2;15;0;0;8;False
2022-05-01;2;18;0;0;8;False
2022-05-08;2;16;0;0;8;False
2022-05-15;2;15;4;0;9;False
2022-05-22;2;16;9;0;8;False
2022-05-29;1;14;9;0;8;False
2022-06-05;2;15;27;0;9;False
2022-06-12;1;16;46;0;9;False
2022-06-19;1;15;54;0;8;False
2022-06-26;2;15;23;0;8;False
2022-07-03;1;15;10;0;9;False
2022-07-10;1;15;22;0;9;False
2022-07-17;1;15;22;0;9;False
2022-07-24;1;18;45;0;9;False
2022-07-31;1;16;26;0;8;False
2022-08-07;1;16;39;0;7;False
2022-08-14;1;15;42;0;7;False
2022-08-21;1;17;26;0;6;False
2022-08-28;1;14;27;0;7;False
2022-09-04;1;14;29;0;8;False
2022-09-11;2;16;14;0;7;False
2022-09-18;2;14;27;0;6;False
2022-09-25;2;14;42;0;6;False
2022-10-02;2;16;62;0;6;False
2022-10-09;2;16;31;0;6;False
2022-10-16;2;18;33;0;5;False
2022-10-23;2;17;42;0;5;False
2022-10-30;2;16;79;0;5;False
2022-11-06;2;16;32;0;6;False
2022-11-13;2;15;23;0;5;False
2022-11-20;2;14;70;0;6;False
2022-11-27;2;15;58;0;6;False
2022-12-04;1;14;98;0;5;False
2022-12-11;2;13;100;0;5;False
2022-12-18;1;13;49;0;5;False
2022-12-25;1;14;41;0;6;False
2023-01-01;1;14;63;0;7;False
2023-01-08;1;17;32;0;7;False
2023-01-15;2;15;30;0;7;False
2023-01-22;2;16;28;0;6;False
2023-01-29;2;15;38;0;6;False
