date;west yorkshire;Inter Miami;space;Fintech;air travel;isPartial
2022-01-02;4;0;52;1;1;False
2022-01-09;4;0;51;1;2;False
2022-01-16;4;0;44;1;1;False
2022-01-23;4;0;48;1;1;False
2022-01-30;4;0;46;1;2;False
2022-02-06;4;0;43;1;2;False
2022-02-13;4;0;46;1;2;False
2022-02-20;4;0;47;1;2;False
2022-02-27;4;0;44;1;1;False
2022-03-06;4;1;44;1;1;False
2022-03-13;4;0;45;1;1;False
2022-03-20;4;0;45;1;1;False
2022-03-27;4;0;42;1;2;False
2022-04-03;4;0;39;1;1;False
2022-04-10;4;0;41;1;1;False
2022-04-17;4;0;41;1;1;False
2022-04-24;4;0;46;1;1;False
2022-05-01;4;0;47;1;1;False
2022-05-08;4;0;43;1;1;False
2022-05-15;4;1;46;1;2;False
2022-05-22;4;0;39;1;1;False
2022-05-29;4;0;38;1;1;False
2022-06-05;4;0;41;1;2;False
2022-06-12;4;0;41;1;1;False
2022-06-19;4;0;41;1;1;False
2022-06-26;4;0;39;1;1;False
2022-07-03;4;0;40;1;2;False
2022-07-10;4;1;100;1;2;False
2022-07-17;4;3;40;1;1;False
2022-07-24;4;0;42;1;1;False
2022-07-31;4;1;42;1;1;False
2022-08-07;4;0;41;1;1;False
2022-08-14;4;0;37;1;1;False
2022-08-21;4;0;39;1;1;False
2022-08-28;4;0;42;1;1;False
2022-09-04;4;0;40;1;1;False
2022-09-11;4;0;41;1;1;False
2022-09-18;4;0;39;1;1;False
2022-09-25;4;0;40;1;1;False
2022-10-02;4;1;43;1;1;False
2022-10-09;4;0;42;1;1;False
2022-10-16;4;0;40;1;1;False
2022-10-23;4;0;41;1;1;False
2022-10-30;4;0;40;1;1;False
2022-11-06;4;0;40;1;1;False
2022-11-13;4;0;43;1;1;False
2022-11-20;3;0;42;1;1;False
2022-11-27;3;1;44;1;1;False
2022-12-04;3;0;43;1;1;False
2022-12-11;4;0;42;1;1;False
2022-12-18;3;0;37;1;1;False
2022-12-25;3;0;40;0;1;False
2023-01-01;4;0;43;1;1;False
2023-01-08;4;0;51;1;1;False
2023-01-15;4;0;48;1;1;False
2023-01-22;4;0;52;1;1;False
2023-01-29;4;0;57;1;1;False
