date;Kenneth Clarke;The Crown;Hunger;Michelangelo Merisi da Caravaggio;air travel;isPartial
2022-01-02;0;14;13;0;3;False
2022-01-09;0;13;10;0;3;False
2022-01-16;0;13;9;0;2;False
2022-01-23;0;15;9;0;3;False
2022-01-30;0;14;8;0;3;False
2022-02-06;0;14;8;0;3;False
2022-02-13;0;13;9;0;3;False
2022-02-20;0;14;10;0;3;False
2022-02-27;0;12;9;0;3;False
2022-03-06;0;11;9;0;3;False
2022-03-13;0;13;8;0;3;False
2022-03-20;0;13;8;0;3;False
2022-03-27;0;12;8;0;3;False
2022-04-03;0;11;7;0;3;False
2022-04-10;0;12;8;0;2;False
2022-04-17;0;11;7;0;3;False
2022-04-24;0;11;8;0;3;False
2022-05-01;0;13;8;0;3;False
2022-05-08;0;12;7;0;3;False
2022-05-15;0;13;9;0;3;False
2022-05-22;0;14;9;0;3;False
2022-05-29;0;20;10;0;3;False
2022-06-05;0;15;10;0;3;False
2022-06-12;0;13;8;0;3;False
2022-06-19;0;12;8;0;3;False
2022-06-26;0;11;7;0;3;False
2022-07-03;0;11;8;0;3;False
2022-07-10;0;12;7;0;3;False
2022-07-17;0;11;8;0;3;False
2022-07-24;0;12;8;0;3;False
2022-07-31;0;12;8;0;3;False
2022-08-07;0;12;8;0;2;False
2022-08-14;0;11;9;0;2;False
2022-08-21;0;12;8;0;2;False
2022-08-28;0;13;7;0;2;False
2022-09-04;0;34;6;0;2;False
2022-09-11;0;56;7;0;2;False
2022-09-18;0;71;7;0;2;False
2022-09-25;0;27;6;0;2;False
2022-10-02;0;18;7;0;2;False
2022-10-09;0;22;7;0;2;False
2022-10-16;0;25;7;0;2;False
2022-10-23;0;21;7;0;2;False
2022-10-30;0;33;6;0;2;False
2022-11-06;0;100;7;0;2;False
2022-11-13;0;74;7;0;2;False
2022-11-20;0;37;6;0;2;False
2022-11-27;0;30;6;0;2;False
2022-12-04;0;24;7;0;2;False
2022-12-11;0;19;7;0;2;False
2022-12-18;0;21;7;0;2;False
2022-12-25;0;23;8;0;2;False
2023-01-01;0;17;9;0;2;False
2023-01-08;0;15;8;0;2;False
2023-01-15;0;14;9;0;2;False
2023-01-22;0;14;9;0;2;False
2023-01-29;0;13;9;0;2;False
