date;Sculpture;Architecture;Joe Cornish;Essential poll;air travel;isPartial
2022-01-02;59;84;0;0;22;False
2022-01-09;59;95;1;0;24;False
2022-01-16;51;94;1;0;19;False
2022-01-23;58;99;0;0;21;False
2022-01-30;54;99;1;0;23;False
2022-02-06;49;96;1;0;23;False
2022-02-13;47;86;1;0;24;False
2022-02-20;52;96;1;0;24;False
2022-02-27;49;91;1;0;21;False
2022-03-06;48;96;1;0;22;False
2022-03-13;52;92;1;0;22;False
2022-03-20;51;87;1;0;21;False
2022-03-27;50;92;1;0;23;False
2022-04-03;52;84;0;0;21;False
2022-04-10;58;76;1;0;18;False
2022-04-17;54;77;0;0;20;False
2022-04-24;52;89;0;0;21;False
2022-05-01;59;88;0;0;21;False
2022-05-08;51;95;1;0;22;False
2022-05-15;52;89;1;0;23;False
2022-05-22;54;83;0;0;22;False
2022-05-29;59;70;0;0;22;False
2022-06-05;53;84;1;0;25;False
2022-06-12;52;80;0;0;21;False
2022-06-19;54;79;1;0;20;False
2022-06-26;53;75;0;0;21;False
2022-07-03;49;74;1;0;23;False
2022-07-10;49;79;0;0;23;False
2022-07-17;49;76;1;0;22;False
2022-07-24;53;74;1;0;22;False
2022-07-31;55;73;1;0;20;False
2022-08-07;52;76;1;0;19;False
2022-08-14;51;73;0;0;19;False
2022-08-21;56;73;0;0;16;False
2022-08-28;53;68;1;0;18;False
2022-09-04;47;80;0;0;20;False
2022-09-11;51;90;1;0;17;False
2022-09-18;47;87;1;0;16;False
2022-09-25;46;93;0;0;17;False
2022-10-02;50;97;1;0;16;False
2022-10-09;48;99;0;0;15;False
2022-10-16;50;96;0;0;14;False
2022-10-23;46;89;0;0;13;False
2022-10-30;40;91;1;0;13;False
2022-11-06;48;100;0;0;15;False
2022-11-13;44;96;0;0;12;False
2022-11-20;38;87;1;0;15;False
2022-11-27;44;94;0;0;15;False
2022-12-04;40;89;1;0;13;False
2022-12-11;36;87;0;0;13;False
2022-12-18;34;67;0;0;12;False
2022-12-25;38;58;2;0;16;False
2023-01-01;44;82;1;0;19;False
2023-01-08;44;90;1;0;17;False
2023-01-15;47;100;1;0;17;False
2023-01-22;45;99;3;0;16;False
2023-01-29;51;98;4;0;17;False
