date;Theatre Royal Bath;E-commerce;Pope Benedict XVI;Discrimination at work;air travel;isPartial
2022-01-02;4;5;1;1;26;False
2022-01-09;5;6;0;2;29;False
2022-01-16;5;6;4;1;22;False
2022-01-23;4;9;1;1;25;False
2022-01-30;6;5;0;2;28;False
2022-02-06;5;6;1;1;28;False
2022-02-13;5;5;0;1;28;False
2022-02-20;5;6;1;1;29;False
2022-02-27;5;6;0;1;25;False
2022-03-06;3;7;1;1;26;False
2022-03-13;4;6;0;0;26;False
2022-03-20;4;6;0;2;26;False
2022-03-27;4;7;1;2;27;False
2022-04-03;4;5;0;1;25;False
2022-04-10;4;5;1;1;22;False
2022-04-17;4;6;0;2;24;False
2022-04-24;5;6;0;2;25;False
2022-05-01;4;7;1;2;25;False
2022-05-08;3;8;1;2;26;False
2022-05-15;3;8;1;2;27;False
2022-05-22;3;7;0;1;26;False
2022-05-29;3;6;1;1;26;False
2022-06-05;4;6;1;1;29;False
2022-06-12;3;6;0;2;26;False
2022-06-19;3;6;1;1;24;False
2022-06-26;4;4;1;1;26;False
2022-07-03;4;5;1;1;27;False
2022-07-10;4;5;1;2;28;False
2022-07-17;3;5;0;1;26;False
2022-07-24;3;5;3;1;26;False
2022-07-31;3;4;1;1;24;False
2022-08-07;3;6;1;2;23;False
2022-08-14;5;4;1;1;23;False
2022-08-21;8;6;1;1;20;False
2022-08-28;6;5;1;1;22;False
2022-09-04;6;5;2;1;23;False
2022-09-11;5;6;1;2;20;False
2022-09-18;3;4;1;0;19;False
2022-09-25;6;6;0;1;20;False
2022-10-02;6;6;0;2;19;False
2022-10-09;5;7;1;2;18;False
2022-10-16;5;6;1;1;17;False
2022-10-23;5;6;1;1;16;False
2022-10-30;6;6;0;1;15;False
2022-11-06;5;8;1;1;17;False
2022-11-13;6;8;2;2;15;False
2022-11-20;6;5;1;1;18;False
2022-11-27;6;6;0;1;18;False
2022-12-04;4;7;1;0;15;False
2022-12-11;4;6;1;1;16;False
2022-12-18;6;4;1;0;15;False
2022-12-25;7;3;100;1;19;False
2023-01-01;7;6;67;1;22;False
2023-01-08;6;6;5;1;21;False
2023-01-15;5;6;1;1;20;False
2023-01-22;7;7;2;2;19;False
2023-01-29;6;7;1;2;20;False
