date;El Niño southern oscillation;Prada;Hong Kong;Buffy the Vampire Slayer;air travel;isPartial
2022-01-02;0;0;57;4;11;False
2022-01-09;0;0;56;5;12;False
2022-01-16;0;0;51;5;9;False
2022-01-23;0;0;55;5;10;False
2022-01-30;0;0;50;4;11;False
2022-02-06;0;0;48;5;11;False
2022-02-13;0;0;54;5;12;False
2022-02-20;0;0;59;6;12;False
2022-02-27;0;0;55;4;10;False
2022-03-06;0;0;56;6;11;False
2022-03-13;0;0;61;5;11;False
2022-03-20;0;0;56;5;10;False
2022-03-27;0;0;55;4;11;False
2022-04-03;0;0;52;4;10;False
2022-04-10;0;0;51;4;9;False
2022-04-17;0;0;0;3;10;False
2022-04-24;0;0;0;3;10;False
2022-05-01;0;0;55;4;10;False
2022-05-08;0;0;51;3;11;False
2022-05-15;0;0;52;4;11;False
2022-05-22;0;0;47;4;11;False
2022-05-29;0;0;52;4;11;False
2022-06-05;0;0;50;3;12;False
2022-06-12;0;0;54;3;10;False
2022-06-19;0;0;60;3;10;False
2022-06-26;0;0;59;3;10;False
2022-07-03;0;0;53;4;11;False
2022-07-10;0;0;54;3;11;False
2022-07-17;0;0;0;3;11;False
2022-07-24;0;0;64;3;11;False
2022-07-31;0;0;67;3;10;False
2022-08-07;0;0;60;4;9;False
2022-08-14;0;0;0;3;9;False
2022-08-21;0;0;51;4;8;False
2022-08-28;0;0;100;4;9;False
2022-09-04;0;0;51;3;10;False
2022-09-11;0;0;55;5;8;False
2022-09-18;0;0;58;5;8;False
2022-09-25;0;0;59;4;8;False
2022-10-02;0;0;74;5;8;False
2022-10-09;0;0;65;5;8;False
2022-10-16;0;0;53;4;7;False
2022-10-23;0;0;54;5;6;False
2022-10-30;0;0;58;4;6;False
2022-11-06;0;0;60;4;7;False
2022-11-13;0;0;63;3;6;False
2022-11-20;0;0;58;3;7;False
2022-11-27;0;0;64;4;7;False
2022-12-04;0;0;52;3;6;False
2022-12-11;0;0;55;3;6;False
2022-12-18;0;0;0;3;6;False
2022-12-25;0;0;58;3;8;False
2023-01-01;0;0;60;4;9;False
2023-01-08;0;0;60;4;8;False
2023-01-15;0;0;61;5;8;False
2023-01-22;0;0;59;7;8;False
2023-01-29;0;0;72;7;8;False
