date;Sufism;Lucy Powell;Welsh Rugby Union;Bad Bunny;air travel;isPartial
2022-01-02;4;2;5;14;90;False
2022-01-09;3;3;3;12;98;False
2022-01-16;5;7;6;26;77;False
2022-01-23;5;6;6;21;84;False
2022-01-30;4;8;9;31;95;False
2022-02-06;1;2;7;20;96;False
2022-02-13;5;0;6;17;96;False
2022-02-20;6;2;8;16;98;False
2022-02-27;5;2;5;17;86;False
2022-03-06;6;0;7;17;90;False
2022-03-13;4;1;5;22;90;False
2022-03-20;4;0;4;15;88;False
2022-03-27;6;4;4;14;93;False
2022-04-03;5;3;3;21;85;False
2022-04-10;5;3;3;19;74;False
2022-04-17;6;3;2;15;82;False
2022-04-24;4;3;4;28;84;False
2022-05-01;6;1;5;54;87;False
2022-05-08;4;2;3;39;89;False
2022-05-15;2;11;2;28;93;False
2022-05-22;4;3;3;28;88;False
2022-05-29;4;1;3;20;90;False
2022-06-05;3;3;1;23;100;False
2022-06-12;5;2;4;17;87;False
2022-06-19;4;3;2;17;81;False
2022-06-26;2;0;2;19;87;False
2022-07-03;3;1;5;21;92;False
2022-07-10;6;1;5;19;95;False
2022-07-17;3;1;3;21;91;False
2022-07-24;3;0;2;23;90;False
2022-07-31;3;2;3;36;81;False
2022-08-07;4;0;4;37;78;False
2022-08-14;3;0;4;31;77;False
2022-08-21;2;2;3;31;67;False
2022-08-28;7;7;4;65;74;False
2022-09-04;3;2;5;31;80;False
2022-09-11;3;1;3;24;69;False
2022-09-18;4;2;3;24;66;False
2022-09-25;4;5;4;32;68;False
2022-10-02;6;2;6;34;65;False
2022-10-09;3;2;5;45;63;False
2022-10-16;5;2;4;31;57;False
2022-10-23;6;2;5;29;53;False
2022-10-30;0;2;7;26;53;False
2022-11-06;6;4;5;23;59;False
2022-11-13;4;4;4;33;50;False
2022-11-20;4;2;6;25;62;False
2022-11-27;6;3;9;38;61;False
2022-12-04;1;7;6;39;52;False
2022-12-11;4;0;5;34;53;False
2022-12-18;8;0;4;34;50;False
2022-12-25;6;2;3;31;66;False
2023-01-01;3;2;4;48;77;False
2023-01-08;3;1;4;37;71;False
2023-01-15;4;7;4;18;69;False
2023-01-22;2;1;12;29;64;False
2023-01-29;6;2;18;25;69;False
