date;Hamilton;Leeds United;roe v wade;jessie j;air travel;isPartial
2023-01-01;22;27;0;0;2;False
2023-01-02;25;27;0;1;2;False
2023-01-03;23;25;1;0;1;False
2023-01-04;23;74;0;0;2;False
2023-01-05;22;31;0;0;2;False
2023-01-06;29;28;0;22;2;False
2023-01-07;28;25;0;32;1;False
2023-01-08;25;80;0;15;2;False
2023-01-09;22;32;1;8;1;False
2023-01-10;23;34;0;4;2;False
2023-01-11;23;33;0;2;2;False
2023-01-12;26;39;0;1;2;False
2023-01-13;23;100;0;2;1;False
2023-01-14;24;45;0;1;1;False
2023-01-15;23;29;0;1;2;False
2023-01-16;24;29;0;1;2;False
2023-01-17;22;28;0;1;1;False
2023-01-18;24;84;0;1;2;False
2023-01-19;22;39;0;1;2;False
2023-01-20;25;27;0;2;1;False
2023-01-21;26;33;0;2;1;False
2023-01-22;23;88;1;1;2;False
2023-01-23;25;28;1;1;2;False
2023-01-24;24;31;0;2;1;False
2023-01-25;24;34;0;1;2;False
2023-01-26;23;32;0;1;2;False
2023-01-27;26;36;0;2;1;False
2023-01-28;34;69;0;1;2;False
2023-01-29;24;34;0;2;1;False
2023-01-30;22;42;0;1;2;False
2023-01-31;25;46;0;2;2;False
