date;Population;jair bolsonaro;peru;Nine newspapers;air travel;isPartial
2023-01-01;81;2;13;0;5;False
2023-01-02;81;6;13;0;6;False
2023-01-03;69;1;12;0;4;False
2023-01-04;74;0;14;0;6;False
2023-01-05;72;0;12;0;5;False
2023-01-06;80;0;14;0;5;False
2023-01-07;67;0;15;0;4;False
2023-01-08;75;2;14;0;6;False
2023-01-09;74;5;13;0;3;False
2023-01-10;85;5;14;0;5;False
2023-01-11;81;3;15;0;6;False
2023-01-12;86;1;14;0;5;False
2023-01-13;73;0;16;0;4;False
2023-01-14;70;0;19;0;4;False
2023-01-15;72;1;13;0;5;False
2023-01-16;82;0;15;0;5;False
2023-01-17;88;0;17;0;4;False
2023-01-18;100;0;13;0;5;False
2023-01-19;93;0;14;0;5;False
2023-01-20;80;1;18;0;4;False
2023-01-21;75;0;18;0;4;False
2023-01-22;80;1;20;0;5;False
2023-01-23;85;0;17;0;5;False
2023-01-24;91;0;16;0;4;False
2023-01-25;89;0;15;0;5;False
2023-01-26;84;0;12;0;5;False
2023-01-27;73;0;12;0;3;False
2023-01-28;68;0;11;0;5;False
2023-01-29;80;0;15;0;4;False
2023-01-30;77;0;14;0;7;False
2023-01-31;81;0;15;0;6;False
