date;Women's cricket;Evangelical Christianity;Academic experts;Tata;air travel;isPartial
2022-01-02;2;1;0;55;58;False
2022-01-09;7;2;0;70;67;False
2022-01-16;9;0;0;80;50;False
2022-01-23;11;0;0;90;55;False
2022-01-30;10;0;0;83;62;False
2022-02-06;6;0;0;65;62;False
2022-02-13;2;0;0;61;63;False
2022-02-20;4;0;0;67;64;False
2022-02-27;9;1;0;62;56;False
2022-03-06;14;1;0;64;59;False
2022-03-13;17;1;0;62;58;False
2022-03-20;17;1;0;62;57;False
2022-03-27;23;0;0;67;61;False
2022-04-03;12;0;0;61;55;False
2022-04-10;5;1;0;63;48;False
2022-04-17;6;0;0;66;53;False
2022-04-24;5;0;0;69;55;False
2022-05-01;9;2;0;66;57;False
2022-05-08;6;0;0;65;58;False
2022-05-15;6;1;0;74;61;False
2022-05-22;4;1;0;65;57;False
2022-05-29;6;0;0;56;58;False
2022-06-05;5;1;0;58;65;False
2022-06-12;7;0;0;63;57;False
2022-06-19;9;0;0;59;53;False
2022-06-26;22;0;0;58;57;False
2022-07-03;9;1;0;61;60;False
2022-07-10;16;1;0;55;62;False
2022-07-17;22;0;0;62;59;False
2022-07-24;25;1;0;65;59;False
2022-07-31;27;0;0;58;53;False
2022-08-07;20;0;0;61;51;False
2022-08-14;9;1;0;62;50;False
2022-08-21;10;0;0;72;44;False
2022-08-28;14;0;0;59;48;False
2022-09-04;9;0;0;81;52;False
2022-09-11;12;0;0;69;45;False
2022-09-18;15;1;0;60;44;False
2022-09-25;10;0;0;64;45;False
2022-10-02;4;1;0;78;43;False
2022-10-09;4;0;0;68;42;False
2022-10-16;4;0;0;58;37;False
2022-10-23;4;0;0;59;35;False
2022-10-30;4;0;0;64;34;False
2022-11-06;4;1;0;63;39;False
2022-11-13;7;0;0;71;32;False
2022-11-20;4;1;0;63;41;False
2022-11-27;3;1;0;64;40;False
2022-12-04;9;0;0;61;34;False
2022-12-11;5;0;0;60;35;False
2022-12-18;4;0;0;58;32;False
2022-12-25;3;0;0;62;43;False
2023-01-01;5;1;0;62;50;False
2023-01-08;3;1;0;70;46;False
2023-01-15;7;1;0;93;45;False
2023-01-22;7;0;0;100;41;False
2023-01-29;7;1;0;78;45;False
