date;ministry of defence;Simon Rattle;Black Keys;Skiing holidays;air travel;isPartial
2023-01-01;9;0;12;99;76;False
2023-01-02;20;0;18;63;90;False
2023-01-03;27;0;17;58;59;False
2023-01-04;16;7;13;61;89;False
2023-01-05;19;5;16;49;73;False
2023-01-06;25;0;35;39;73;False
2023-01-07;18;0;22;42;53;False
2023-01-08;17;0;37;39;84;False
2023-01-09;33;0;20;31;50;False
2023-01-10;31;9;31;38;79;False
2023-01-11;43;13;27;36;90;False
2023-01-12;20;0;19;29;75;False
2023-01-13;23;0;17;39;60;False
2023-01-14;8;6;34;35;56;False
2023-01-15;15;0;21;38;66;False
2023-01-16;26;0;5;36;68;False
2023-01-17;18;0;0;30;56;False
2023-01-18;19;0;21;32;80;False
2023-01-19;24;5;8;28;73;False
2023-01-20;24;0;29;24;59;False
2023-01-21;17;0;12;33;63;False
2023-01-22;15;0;24;48;70;False
2023-01-23;22;0;6;28;72;False
2023-01-24;30;0;18;28;55;False
2023-01-25;29;0;18;35;75;False
2023-01-26;19;0;26;8;68;False
2023-01-27;26;0;21;23;47;False
2023-01-28;11;7;40;23;66;False
2023-01-29;31;0;21;32;60;False
2023-01-30;27;8;17;35;100;False
2023-01-31;30;0;18;18;84;False
