date;mcdonald's;Competition and Markets Authority;Rudy Giuliani;Rwanda;air travel;isPartial
2022-01-02;80;0;0;2;3;False
2022-01-09;66;0;0;2;3;False
2022-01-16;62;0;0;2;3;False
2022-01-23;85;0;0;1;3;False
2022-01-30;83;0;3;2;3;False
2022-02-06;75;0;1;1;3;False
2022-02-13;70;0;1;2;3;False
2022-02-20;70;0;0;2;3;False
2022-02-27;64;0;0;2;3;False
2022-03-06;67;0;0;2;3;False
2022-03-13;61;0;0;2;3;False
2022-03-20;70;0;0;2;3;False
2022-03-27;60;0;0;2;3;False
2022-04-03;63;0;0;3;3;False
2022-04-10;71;0;0;43;3;False
2022-04-17;70;0;4;19;3;False
2022-04-24;62;0;0;5;3;False
2022-05-01;67;0;0;4;3;False
2022-05-08;63;0;0;6;3;False
2022-05-15;62;0;0;4;3;False
2022-05-22;66;0;0;3;3;False
2022-05-29;73;0;0;7;3;False
2022-06-05;81;0;0;12;4;False
2022-06-12;67;0;0;45;3;False
2022-06-19;62;0;0;10;3;False
2022-06-26;66;0;1;4;3;False
2022-07-03;63;0;0;3;3;False
2022-07-10;65;0;0;3;3;False
2022-07-17;69;0;0;3;3;False
2022-07-24;88;0;0;4;3;False
2022-07-31;78;0;0;2;3;False
2022-08-07;67;0;0;3;3;False
2022-08-14;62;0;0;3;3;False
2022-08-21;63;0;0;2;2;False
2022-08-28;67;0;0;2;3;False
2022-09-04;77;0;0;3;3;False
2022-09-11;90;0;1;2;2;False
2022-09-18;100;0;0;2;2;False
2022-09-25;77;0;0;2;2;False
2022-10-02;78;0;0;3;2;False
2022-10-09;63;0;0;3;2;False
2022-10-16;64;0;0;3;2;False
2022-10-23;58;0;0;3;2;False
2022-10-30;46;0;0;3;2;False
2022-11-06;48;0;0;2;2;False
2022-11-13;44;0;0;2;2;False
2022-11-20;45;0;0;2;2;False
2022-11-27;43;0;0;2;2;False
2022-12-04;40;0;0;2;2;False
2022-12-11;42;0;0;2;2;False
2022-12-18;50;0;0;9;2;False
2022-12-25;57;0;0;4;2;False
2023-01-01;50;0;0;2;3;False
2023-01-08;38;0;0;2;2;False
2023-01-15;37;0;0;3;2;False
2023-01-22;39;0;0;3;2;False
2023-01-29;39;0;0;2;2;False
