date;Minimum wage;disney;Winter sun;Housing market;air travel;isPartial
2022-01-02;12;78;1;1;2;False
2022-01-09;14;71;1;1;2;False
2022-01-16;15;70;1;1;2;False
2022-01-23;19;76;1;1;2;False
2022-01-30;19;80;1;1;2;False
2022-02-06;16;78;1;1;2;False
2022-02-13;14;76;1;1;2;False
2022-02-20;16;74;1;1;2;False
2022-02-27;15;69;0;1;2;False
2022-03-06;18;72;0;1;2;False
2022-03-13;17;75;1;1;2;False
2022-03-20;23;67;0;1;2;False
2022-03-27;26;75;0;1;2;False
2022-04-03;23;77;0;1;2;False
2022-04-10;18;84;0;1;1;False
2022-04-17;15;75;0;1;2;False
2022-04-24;18;65;0;1;2;False
2022-05-01;14;76;0;1;2;False
2022-05-08;14;71;0;1;2;False
2022-05-15;16;68;0;1;2;False
2022-05-22;14;73;0;1;2;False
2022-05-29;12;81;0;1;2;False
2022-06-05;13;74;1;1;2;False
2022-06-12;13;67;1;2;2;False
2022-06-19;15;68;1;1;2;False
2022-06-26;15;67;0;2;2;False
2022-07-03;14;68;1;1;2;False
2022-07-10;12;65;1;1;2;False
2022-07-17;13;77;1;1;2;False
2022-07-24;15;74;1;2;2;False
2022-07-31;12;78;1;2;2;False
2022-08-07;12;73;1;2;2;False
2022-08-14;11;77;1;1;2;False
2022-08-21;18;75;1;1;1;False
2022-08-28;12;76;1;2;1;False
2022-09-04;13;83;1;1;2;False
2022-09-11;12;100;1;1;1;False
2022-09-18;17;94;1;2;1;False
2022-09-25;15;91;1;3;1;False
2022-10-02;13;88;1;2;1;False
2022-10-09;12;84;1;2;1;False
2022-10-16;11;81;1;3;1;False
2022-10-23;12;79;1;2;1;False
2022-10-30;11;81;1;2;1;False
2022-11-06;11;81;1;1;1;False
2022-11-13;26;82;1;2;1;False
2022-11-20;14;80;1;1;1;False
2022-11-27;11;76;1;1;1;False
2022-12-04;10;69;1;1;1;False
2022-12-11;10;79;1;1;1;False
2022-12-18;9;82;1;1;1;False
2022-12-25;8;94;2;2;1;False
2023-01-01;18;83;1;1;2;False
2023-01-08;15;72;1;1;1;False
2023-01-15;16;71;1;1;1;False
2023-01-22;17;77;1;1;1;False
2023-01-29;17;74;1;1;1;False
