date;Billy Elliot;Maren Morris;oasis;matteo messina denaro;air travel;isPartial
2022-01-02;7;1;63;0;12;False
2022-01-09;10;1;67;0;13;False
2022-01-16;7;0;67;0;10;False
2022-01-23;8;0;72;0;11;False
2022-01-30;12;0;71;0;12;False
2022-02-06;7;0;75;0;12;False
2022-02-13;5;0;77;0;12;False
2022-02-20;5;0;79;0;13;False
2022-02-27;3;0;65;0;11;False
2022-03-06;3;1;65;0;12;False
2022-03-13;3;1;68;0;12;False
2022-03-20;4;1;69;0;11;False
2022-03-27;3;1;80;0;12;False
2022-04-03;3;0;74;0;11;False
2022-04-10;3;1;88;0;10;False
2022-04-17;4;0;84;0;11;False
2022-04-24;4;0;87;0;11;False
2022-05-01;7;1;84;0;11;False
2022-05-08;4;0;78;0;12;False
2022-05-15;4;0;72;0;12;False
2022-05-22;4;0;81;0;11;False
2022-05-29;4;0;93;0;12;False
2022-06-05;3;0;82;0;13;False
2022-06-12;3;0;77;0;11;False
2022-06-19;3;0;100;0;11;False
2022-06-26;4;0;88;0;11;False
2022-07-03;3;0;82;0;12;False
2022-07-10;4;0;82;0;12;False
2022-07-17;5;0;78;0;12;False
2022-07-24;6;1;65;0;12;False
2022-07-31;4;0;73;0;10;False
2022-08-07;5;0;77;0;10;False
2022-08-14;4;0;66;0;10;False
2022-08-21;2;0;69;0;9;False
2022-08-28;3;1;70;0;10;False
2022-09-04;3;1;63;0;10;False
2022-09-11;2;0;60;0;9;False
2022-09-18;3;1;60;0;9;False
2022-09-25;3;0;60;0;9;False
2022-10-02;3;1;59;0;8;False
2022-10-09;5;0;59;0;8;False
2022-10-16;3;0;60;0;7;False
2022-10-23;3;0;56;0;7;False
2022-10-30;2;0;52;0;7;False
2022-11-06;3;0;60;0;8;False
2022-11-13;3;0;57;0;6;False
2022-11-20;2;0;55;0;8;False
2022-11-27;3;0;59;0;8;False
2022-12-04;2;0;54;0;7;False
2022-12-11;2;0;52;0;7;False
2022-12-18;3;0;50;0;6;False
2022-12-25;4;0;57;0;8;False
2023-01-01;5;0;62;0;10;False
2023-01-08;3;1;61;0;9;False
2023-01-15;3;1;72;18;9;False
2023-01-22;3;0;69;1;8;False
2023-01-29;3;0;66;1;9;False
