date;sky;Retirement planning;Opinion polls;Indonesia;air travel;isPartial
2022-01-02;81;0;0;1;0;False
2022-01-09;78;0;0;1;0;False
2022-01-16;77;0;0;1;0;False
2022-01-23;74;0;0;1;0;False
2022-01-30;87;0;0;1;0;False
2022-02-06;70;0;0;1;0;False
2022-02-13;79;0;0;1;0;False
2022-02-20;95;0;0;1;0;False
2022-02-27;100;0;0;1;0;False
2022-03-06;82;0;0;1;0;False
2022-03-13;89;0;0;1;0;False
2022-03-20;69;0;0;1;0;False
2022-03-27;69;0;0;1;0;False
2022-04-03;75;0;0;1;0;False
2022-04-10;75;0;0;1;0;False
2022-04-17;74;0;0;1;0;False
2022-04-24;69;0;0;1;0;False
2022-05-01;74;0;0;1;0;False
2022-05-08;71;0;0;1;0;False
2022-05-15;72;0;0;1;0;False
2022-05-22;69;0;0;1;0;False
2022-05-29;70;0;0;1;0;False
2022-06-05;72;0;0;1;1;False
2022-06-12;73;0;0;1;0;False
2022-06-19;66;0;0;1;0;False
2022-06-26;69;0;0;1;0;False
2022-07-03;79;0;0;1;0;False
2022-07-10;74;0;0;1;0;False
2022-07-17;74;0;0;1;0;False
2022-07-24;80;0;0;1;0;False
2022-07-31;78;0;0;1;0;False
2022-08-07;76;0;0;1;0;False
2022-08-14;74;0;0;1;0;False
2022-08-21;72;0;0;1;0;False
2022-08-28;83;0;0;1;0;False
2022-09-04;89;0;0;1;0;False
2022-09-11;76;0;0;1;0;False
2022-09-18;70;0;0;1;0;False
2022-09-25;70;0;1;1;0;False
2022-10-02;74;0;0;2;0;False
2022-10-09;73;0;0;1;0;False
2022-10-16;87;0;1;1;0;False
2022-10-23;80;0;0;1;0;False
2022-10-30;72;0;0;1;0;False
2022-11-06;78;0;0;1;0;False
2022-11-13;78;0;0;1;0;False
2022-11-20;68;0;0;2;0;False
2022-11-27;64;0;0;1;0;False
2022-12-04;64;0;0;2;0;False
2022-12-11;59;0;0;1;0;False
2022-12-18;64;0;0;1;0;False
2022-12-25;77;0;0;1;0;False
2023-01-01;73;0;0;1;0;False
2023-01-08;72;0;0;1;0;False
2023-01-15;74;0;0;1;0;False
2023-01-22;72;0;0;1;0;False
2023-01-29;77;0;0;1;0;False
