date;Sharks;England holidays;Billie Piper;Guinness World Records;air travel;isPartial
2022-01-02;48;48;6;3;22;False
2022-01-09;100;35;6;3;24;False
2022-01-16;55;24;5;5;19;False
2022-01-23;55;23;9;3;21;False
2022-01-30;66;21;9;3;23;False
2022-02-06;54;22;5;2;24;False
2022-02-13;62;18;5;3;24;False
2022-02-20;50;19;5;3;24;False
2022-02-27;45;18;4;3;21;False
2022-03-06;49;20;4;2;22;False
2022-03-13;46;22;8;2;22;False
2022-03-20;52;25;5;4;22;False
2022-03-27;51;23;5;3;23;False
2022-04-03;52;29;4;3;21;False
2022-04-10;52;27;5;3;18;False
2022-04-17;54;29;4;3;20;False
2022-04-24;48;28;8;3;21;False
2022-05-01;48;23;5;3;21;False
2022-05-08;51;19;6;3;22;False
2022-05-15;52;24;8;4;23;False
2022-05-22;47;24;5;3;22;False
2022-05-29;51;26;5;3;22;False
2022-06-05;41;21;5;3;25;False
2022-06-12;49;16;4;3;21;False
2022-06-19;45;17;4;3;20;False
2022-06-26;48;16;8;3;21;False
2022-07-03;65;19;5;3;23;False
2022-07-10;66;21;8;3;23;False
2022-07-17;62;20;6;4;22;False
2022-07-24;62;29;4;3;22;False
2022-07-31;66;24;4;3;20;False
2022-08-07;63;17;6;3;19;False
2022-08-14;54;15;6;3;19;False
2022-08-21;50;19;7;3;17;False
2022-08-28;51;19;5;4;18;False
2022-09-04;51;13;4;2;20;False
2022-09-11;52;14;6;3;17;False
2022-09-18;46;13;7;2;16;False
2022-09-25;53;13;7;3;17;False
2022-10-02;48;10;7;2;16;False
2022-10-09;51;12;8;3;15;False
2022-10-16;48;11;10;3;14;False
2022-10-23;49;13;11;3;13;False
2022-10-30;46;12;8;3;13;False
2022-11-06;37;12;6;4;15;False
2022-11-13;44;11;7;3;12;False
2022-11-20;42;13;6;4;15;False
2022-11-27;39;15;9;4;15;False
2022-12-04;41;13;20;3;13;False
2022-12-11;41;12;10;3;13;False
2022-12-18;43;14;27;3;12;False
2022-12-25;55;21;15;4;16;False
2023-01-01;52;30;11;3;19;False
2023-01-08;54;19;11;3;17;False
2023-01-15;55;20;7;3;17;False
2023-01-22;56;18;5;3;16;False
2023-01-29;54;18;6;7;17;False
