date;Baltimore;Edward Gardner;Vatican City State holidays;Chuck Schumer;air travel;isPartial
2022-01-02;69;2;0;1;85;False
2022-01-09;72;0;0;3;98;False
2022-01-16;52;0;0;1;73;False
2022-01-23;68;0;0;0;80;False
2022-01-30;51;1;0;3;91;False
2022-02-06;40;0;0;1;91;False
2022-02-13;47;1;0;0;92;False
2022-02-20;52;0;0;0;93;False
2022-02-27;56;1;0;1;82;False
2022-03-06;43;2;0;0;86;False
2022-03-13;50;1;0;2;85;False
2022-03-20;52;0;0;2;83;False
2022-03-27;51;1;0;2;88;False
2022-04-03;49;1;0;2;81;False
2022-04-10;49;0;0;0;70;False
2022-04-17;55;1;0;1;78;False
2022-04-24;61;1;0;1;80;False
2022-05-01;51;1;0;1;83;False
2022-05-08;65;0;0;2;85;False
2022-05-15;56;1;0;0;88;False
2022-05-22;56;0;0;3;84;False
2022-05-29;54;0;0;0;85;False
2022-06-05;99;0;0;2;95;False
2022-06-12;100;0;0;1;83;False
2022-06-19;84;0;0;1;77;False
2022-06-26;72;0;0;0;83;False
2022-07-03;59;1;0;2;87;False
2022-07-10;82;0;0;0;91;False
2022-07-17;79;0;0;0;86;False
2022-07-24;68;1;0;0;85;False
2022-07-31;66;0;0;1;77;False
2022-08-07;62;0;0;3;75;False
2022-08-14;51;0;0;2;73;False
2022-08-21;58;0;0;0;64;False
2022-08-28;64;2;0;2;70;False
2022-09-04;70;0;0;0;76;False
2022-09-11;73;1;0;1;66;False
2022-09-18;75;0;0;1;65;False
2022-09-25;60;3;0;0;65;False
2022-10-02;67;1;0;0;62;False
2022-10-09;61;1;0;2;61;False
2022-10-16;56;0;0;1;54;False
2022-10-23;67;1;0;3;51;False
2022-10-30;53;0;0;1;50;False
2022-11-06;57;2;0;3;56;False
2022-11-13;62;1;0;7;47;False
2022-11-20;46;0;0;2;59;False
2022-11-27;54;0;0;0;58;False
2022-12-04;45;0;0;1;49;False
2022-12-11;57;1;0;2;51;False
2022-12-18;62;0;0;2;47;False
2022-12-25;60;0;0;0;62;False
2023-01-01;63;1;0;2;73;False
2023-01-08;60;0;0;2;67;False
2023-01-15;59;0;0;0;66;False
2023-01-22;51;0;0;0;60;False
2023-01-29;55;0;0;1;65;False
