date;Amanda Abbington;kanye west;Grant Shapps;Australia news;air travel;isPartial
2022-01-02;1;12;0;8;5;False
2022-01-09;1;16;0;10;5;False
2022-01-16;1;15;1;6;4;False
2022-01-23;1;15;1;5;5;False
2022-01-30;2;15;1;4;5;False
2022-02-06;1;17;0;4;5;False
2022-02-13;0;58;0;4;5;False
2022-02-20;1;34;0;5;5;False
2022-02-27;0;33;0;7;5;False
2022-03-06;0;20;1;4;5;False
2022-03-13;0;26;1;3;5;False
2022-03-20;0;15;1;3;5;False
2022-03-27;0;11;1;3;5;False
2022-04-03;3;11;1;4;5;False
2022-04-10;1;11;1;3;4;False
2022-04-17;1;9;1;3;4;False
2022-04-24;0;8;0;3;5;False
2022-05-01;21;10;0;2;5;False
2022-05-08;1;8;0;3;5;False
2022-05-15;1;9;0;4;5;False
2022-05-22;1;11;1;3;5;False
2022-05-29;0;9;0;3;5;False
2022-06-05;0;8;1;3;5;False
2022-06-12;0;7;1;3;5;False
2022-06-19;0;7;5;3;4;False
2022-06-26;0;7;1;3;5;False
2022-07-03;0;7;8;4;5;False
2022-07-10;1;8;7;3;5;False
2022-07-17;0;7;1;3;5;False
2022-07-24;0;6;2;3;5;False
2022-07-31;0;8;1;3;4;False
2022-08-07;0;10;1;3;4;False
2022-08-14;0;7;3;2;4;False
2022-08-21;0;7;1;2;4;False
2022-08-28;0;11;1;2;4;False
2022-09-04;1;12;2;5;4;False
2022-09-11;0;8;0;4;4;False
2022-09-18;0;7;0;3;4;False
2022-09-25;0;9;0;2;4;False
2022-10-02;0;22;1;2;4;False
2022-10-09;0;29;0;3;3;False
2022-10-16;0;23;14;3;3;False
2022-10-23;0;100;6;3;3;False
2022-10-30;0;26;1;3;3;False
2022-11-06;1;14;1;3;3;False
2022-11-13;0;11;0;4;3;False
2022-11-20;2;13;0;3;3;False
2022-11-27;0;44;1;3;3;False
2022-12-04;0;28;0;2;3;False
2022-12-11;0;14;2;3;3;False
2022-12-18;1;12;1;2;3;False
2022-12-25;3;30;0;3;4;False
2023-01-01;0;22;0;3;4;False
2023-01-08;1;17;3;3;4;False
2023-01-15;3;14;1;2;4;False
2023-01-22;1;11;0;3;3;False
2023-01-29;4;9;0;3;4;False
