date;US voting rights;Comets;Atlético Madrid;Recession;air travel;isPartial
2022-01-02;0;2;2;5;11;False
2022-01-09;0;1;1;5;12;False
2022-01-16;0;1;1;5;9;False
2022-01-23;0;1;0;5;10;False
2022-01-30;0;1;0;7;12;False
2022-02-06;0;1;9;6;12;False
2022-02-13;0;1;2;5;12;False
2022-02-20;0;1;29;6;12;False
2022-02-27;0;1;0;7;11;False
2022-03-06;0;1;3;12;11;False
2022-03-13;0;1;29;10;11;False
2022-03-20;0;1;0;9;11;False
2022-03-27;0;1;2;9;11;False
2022-04-03;0;1;24;8;10;False
2022-04-10;0;1;28;9;9;False
2022-04-17;0;1;4;10;10;False
2022-04-24;0;1;2;11;10;False
2022-05-01;0;1;1;27;11;False
2022-05-08;0;1;12;29;11;False
2022-05-15;0;1;1;26;11;False
2022-05-22;0;1;1;17;11;False
2022-05-29;0;1;0;11;11;False
2022-06-05;0;1;0;18;12;False
2022-06-12;0;1;0;36;11;False
2022-06-19;0;1;0;26;10;False
2022-06-26;0;1;0;19;11;False
2022-07-03;0;1;0;19;11;False
2022-07-10;0;1;0;16;12;False
2022-07-17;0;1;1;13;11;False
2022-07-24;0;1;65;28;11;False
2022-07-31;0;1;8;100;10;False
2022-08-07;0;1;7;39;10;False
2022-08-14;0;0;4;22;9;False
2022-08-21;0;1;3;19;8;False
2022-08-28;0;1;7;21;9;False
2022-09-04;0;1;6;25;10;False
2022-09-11;0;1;4;16;9;False
2022-09-18;0;1;17;26;8;False
2022-09-25;0;1;2;32;8;False
2022-10-02;0;1;4;16;8;False
2022-10-09;0;1;4;21;8;False
2022-10-16;0;1;2;20;7;False
2022-10-23;0;1;5;13;7;False
2022-10-30;0;1;4;34;6;False
2022-11-06;0;1;3;34;7;False
2022-11-13;0;1;0;34;6;False
2022-11-20;0;1;0;15;8;False
2022-11-27;0;1;0;13;7;False
2022-12-04;0;1;0;13;6;False
2022-12-11;0;0;1;14;7;False
2022-12-18;0;1;1;10;6;False
2022-12-25;0;1;2;8;8;False
2023-01-01;0;1;1;13;9;False
2023-01-08;0;2;13;15;9;False
2023-01-15;0;2;4;12;8;False
2023-01-22;0;2;17;12;8;False
2023-01-29;0;3;3;15;8;False
