date;Gillian Anderson;de la soul;Drugs trade;Rod Stewart;air travel;isPartial
2022-01-02;5;1;0;10;8;False
2022-01-09;5;1;0;15;10;False
2022-01-16;5;1;0;14;7;False
2022-01-23;4;1;0;13;8;False
2022-01-30;4;1;0;10;9;False
2022-02-06;3;1;0;9;9;False
2022-02-13;3;1;0;9;9;False
2022-02-20;4;1;0;8;9;False
2022-02-27;3;1;0;8;8;False
2022-03-06;3;1;0;10;8;False
2022-03-13;2;2;0;21;8;False
2022-03-20;3;3;0;13;8;False
2022-03-27;3;1;0;10;9;False
2022-04-03;3;1;0;10;8;False
2022-04-10;3;1;0;7;7;False
2022-04-17;3;1;0;8;8;False
2022-04-24;3;1;0;9;8;False
2022-05-01;3;1;0;11;8;False
2022-05-08;4;1;0;8;8;False
2022-05-15;3;1;0;9;9;False
2022-05-22;2;1;0;7;8;False
2022-05-29;3;1;0;100;8;False
2022-06-05;3;1;0;54;9;False
2022-06-12;3;1;0;13;8;False
2022-06-19;3;1;0;11;8;False
2022-06-26;4;1;0;10;8;False
2022-07-03;3;1;0;8;9;False
2022-07-10;3;1;0;7;9;False
2022-07-17;3;1;0;7;8;False
2022-07-24;2;1;0;8;8;False
2022-07-31;3;1;0;8;7;False
2022-08-07;3;1;0;8;7;False
2022-08-14;3;1;0;10;7;False
2022-08-21;3;1;0;8;6;False
2022-08-28;3;0;0;9;7;False
2022-09-04;3;1;0;9;7;False
2022-09-11;3;1;0;9;6;False
2022-09-18;4;1;0;8;6;False
2022-09-25;3;0;0;8;6;False
2022-10-02;3;1;0;8;6;False
2022-10-09;4;1;0;9;6;False
2022-10-16;9;1;0;10;5;False
2022-10-23;9;0;0;12;5;False
2022-10-30;7;1;0;15;5;False
2022-11-06;4;1;0;12;6;False
2022-11-13;3;1;0;14;5;False
2022-11-20;3;1;0;14;6;False
2022-11-27;2;1;0;20;6;False
2022-12-04;3;1;0;21;5;False
2022-12-11;2;1;0;17;5;False
2022-12-18;3;1;0;17;5;False
2022-12-25;4;1;0;13;6;False
2023-01-01;4;3;0;60;7;False
2023-01-08;4;1;0;27;7;False
2023-01-15;4;1;0;10;6;False
2023-01-22;3;1;0;24;6;False
2023-01-29;5;1;0;10;6;False
