date;Keith Vaz;Meteorology;Short breaks;Tim Cook;air travel;isPartial
2022-01-02;5;2;67;14;69;False
2022-01-09;3;4;90;9;76;False
2022-01-16;1;4;87;6;59;False
2022-01-23;2;3;82;13;65;False
2022-01-30;1;5;81;7;74;False
2022-02-06;2;2;78;7;74;False
2022-02-13;1;7;74;11;74;False
2022-02-20;0;5;68;6;76;False
2022-02-27;2;4;65;5;66;False
2022-03-06;1;5;66;7;70;False
2022-03-13;1;3;75;6;69;False
2022-03-20;2;3;75;4;68;False
2022-03-27;1;6;77;6;72;False
2022-04-03;2;3;80;5;66;False
2022-04-10;1;4;66;9;57;False
2022-04-17;1;4;65;4;63;False
2022-04-24;1;3;64;8;65;False
2022-05-01;1;4;77;7;67;False
2022-05-08;1;2;73;6;69;False
2022-05-15;1;6;77;4;72;False
2022-05-22;2;3;87;5;68;False
2022-05-29;1;4;72;5;69;False
2022-06-05;1;2;72;12;77;False
2022-06-12;1;3;71;7;67;False
2022-06-19;2;2;77;7;63;False
2022-06-26;2;2;74;5;67;False
2022-07-03;1;3;82;6;71;False
2022-07-10;2;5;76;7;74;False
2022-07-17;0;5;81;3;70;False
2022-07-24;1;3;98;6;69;False
2022-07-31;3;3;100;7;62;False
2022-08-07;2;3;95;5;61;False
2022-08-14;3;3;79;3;59;False
2022-08-21;2;4;81;5;52;False
2022-08-28;1;3;72;6;57;False
2022-09-04;1;5;65;15;62;False
2022-09-11;1;4;72;8;54;False
2022-09-18;0;2;69;3;51;False
2022-09-25;1;4;69;15;53;False
2022-10-02;2;2;73;8;50;False
2022-10-09;2;10;73;8;48;False
2022-10-16;2;5;68;6;44;False
2022-10-23;1;2;69;68;41;False
2022-10-30;3;4;60;6;41;False
2022-11-06;0;4;56;7;46;False
2022-11-13;1;5;53;5;38;False
2022-11-20;1;4;48;15;48;False
2022-11-27;0;3;43;16;47;False
2022-12-04;0;3;44;8;40;False
2022-12-11;1;3;37;5;41;False
2022-12-18;0;3;48;6;38;False
2022-12-25;0;3;68;6;51;False
2023-01-01;1;3;99;6;59;False
2023-01-08;0;3;88;12;55;False
2023-01-15;2;1;95;10;53;False
2023-01-22;2;5;87;10;49;False
2023-01-29;0;3;85;7;53;False
