date;Lake District holidays;animals;Staff shortages;Vanuatu;air travel;isPartial
2022-01-02;2;66;0;1;5;False
2022-01-09;2;75;0;1;5;False
2022-01-16;1;70;0;2;4;False
2022-01-23;1;77;0;1;4;False
2022-01-30;1;100;0;1;5;False
2022-02-06;1;69;0;1;5;False
2022-02-13;1;63;0;1;5;False
2022-02-20;1;65;0;1;5;False
2022-02-27;1;69;0;1;4;False
2022-03-06;1;78;0;1;5;False
2022-03-13;1;68;0;1;5;False
2022-03-20;1;66;0;2;5;False
2022-03-27;1;64;0;1;5;False
2022-04-03;1;58;1;1;4;False
2022-04-10;1;62;0;0;4;False
2022-04-17;1;60;0;0;4;False
2022-04-24;1;63;0;1;4;False
2022-05-01;1;69;0;1;5;False
2022-05-08;1;64;0;1;5;False
2022-05-15;1;67;0;0;5;False
2022-05-22;1;58;0;1;5;False
2022-05-29;1;55;0;0;5;False
2022-06-05;1;57;0;1;5;False
2022-06-12;1;65;0;1;5;False
2022-06-19;1;71;0;1;4;False
2022-06-26;1;62;0;1;5;False
2022-07-03;1;57;0;0;5;False
2022-07-10;1;57;0;0;5;False
2022-07-17;1;53;0;0;5;False
2022-07-24;2;55;0;1;5;False
2022-07-31;2;53;0;2;4;False
2022-08-07;2;53;0;2;4;False
2022-08-14;1;50;0;1;4;False
2022-08-21;1;60;0;1;4;False
2022-08-28;1;56;0;1;4;False
2022-09-04;1;51;0;1;4;False
2022-09-11;1;60;0;1;4;False
2022-09-18;1;60;0;1;3;False
2022-09-25;1;62;0;1;4;False
2022-10-02;1;61;0;1;3;False
2022-10-09;1;60;0;1;3;False
2022-10-16;1;60;0;1;3;False
2022-10-23;0;51;0;1;3;False
2022-10-30;0;58;0;1;3;False
2022-11-06;1;65;0;1;3;False
2022-11-13;0;63;0;1;3;False
2022-11-20;1;61;0;2;3;False
2022-11-27;0;59;0;1;3;False
2022-12-04;0;57;0;1;3;False
2022-12-11;0;53;0;1;3;False
2022-12-18;1;51;0;1;3;False
2022-12-25;1;53;0;1;3;False
2023-01-01;1;61;0;1;4;False
2023-01-08;1;64;0;3;4;False
2023-01-15;1;70;0;1;4;False
2023-01-22;1;79;0;1;3;False
2023-01-29;1;66;0;0;4;False
