date;princess diana;Green travel;geri halliwell;Cuba;air travel;isPartial
2022-01-02;8;4;2;21;7;False
2022-01-09;8;3;1;26;8;False
2022-01-16;7;2;2;22;6;False
2022-01-23;7;3;1;22;6;False
2022-01-30;8;3;2;22;7;False
2022-02-06;9;3;1;21;7;False
2022-02-13;7;3;1;21;7;False
2022-02-20;7;3;1;23;7;False
2022-02-27;6;2;1;22;6;False
2022-03-06;6;3;2;23;7;False
2022-03-13;6;3;4;21;7;False
2022-03-20;7;3;3;22;6;False
2022-03-27;7;2;2;22;7;False
2022-04-03;8;2;2;21;6;False
2022-04-10;8;2;2;34;5;False
2022-04-17;7;2;3;20;6;False
2022-04-24;6;2;1;20;6;False
2022-05-01;7;2;2;24;6;False
2022-05-08;7;2;3;22;7;False
2022-05-15;7;3;2;21;7;False
2022-05-22;8;2;2;19;6;False
2022-05-29;16;2;3;20;7;False
2022-06-05;15;2;3;19;7;False
2022-06-12;9;2;2;20;7;False
2022-06-19;8;2;2;19;6;False
2022-06-26;9;2;2;18;6;False
2022-07-03;7;2;3;18;7;False
2022-07-10;8;2;2;19;7;False
2022-07-17;9;2;1;19;7;False
2022-07-24;7;2;2;20;7;False
2022-07-31;8;2;5;18;6;False
2022-08-07;8;2;3;21;6;False
2022-08-14;12;2;1;19;6;False
2022-08-21;21;2;2;19;5;False
2022-08-28;39;2;1;19;5;False
2022-09-04;94;2;2;17;6;False
2022-09-11;100;2;1;19;5;False
2022-09-18;73;2;2;20;5;False
2022-09-25;16;2;1;26;5;False
2022-10-02;10;1;1;19;5;False
2022-10-09;9;2;1;18;5;False
2022-10-16;9;1;1;18;4;False
2022-10-23;10;1;2;19;4;False
2022-10-30;9;1;1;18;4;False
2022-11-06;33;1;5;18;4;False
2022-11-13;42;1;2;19;4;False
2022-11-20;21;1;2;18;5;False
2022-11-27;18;1;1;17;4;False
2022-12-04;19;2;1;18;4;False
2022-12-11;14;1;1;16;4;False
2022-12-18;12;1;1;16;4;False
2022-12-25;11;1;2;21;5;False
2023-01-01;12;1;2;22;6;False
2023-01-08;21;2;1;22;5;False
2023-01-15;11;2;1;21;5;False
2023-01-22;8;2;1;20;5;False
2023-01-29;7;2;1;20;5;False
