date;fire service;Asean (Association of Southeast Asian Nations);YouTube;Ghislaine Maxwell;air travel;isPartial
2023-01-01;0;0;93;0;0;False
2023-01-02;0;0;86;0;0;False
2023-01-03;1;0;85;0;0;False
2023-01-04;0;0;87;0;0;False
2023-01-05;0;0;87;0;0;False
2023-01-06;0;0;90;0;0;False
2023-01-07;0;0;77;0;0;False
2023-01-08;0;0;88;0;0;False
2023-01-09;0;0;86;0;0;False
2023-01-10;1;0;89;0;0;False
2023-01-11;1;0;89;0;0;False
2023-01-12;0;0;95;0;0;False
2023-01-13;0;0;93;0;0;False
2023-01-14;0;0;93;0;0;False
2023-01-15;0;0;91;0;0;False
2023-01-16;1;0;89;0;0;False
2023-01-17;0;0;87;0;0;False
2023-01-18;0;0;89;0;0;False
2023-01-19;0;0;93;0;0;False
2023-01-20;0;0;100;0;0;False
2023-01-21;0;0;91;0;0;False
2023-01-22;0;0;90;1;0;False
2023-01-23;1;0;91;2;0;False
2023-01-24;1;0;88;1;0;False
2023-01-25;1;0;86;0;0;False
2023-01-26;0;0;87;0;0;False
2023-01-27;1;0;92;0;0;False
2023-01-28;0;0;95;0;0;False
2023-01-29;0;0;89;0;0;False
2023-01-30;1;0;89;0;0;False
2023-01-31;1;0;91;0;0;False
