date;albania;Grant Shapps;Star Wars;Ofsted;air travel;isPartial
2023-01-01;19;1;97;16;6;False
2023-01-02;26;0;94;23;7;False
2023-01-03;21;0;80;39;5;False
2023-01-04;19;1;78;38;7;False
2023-01-05;16;1;73;49;6;False
2023-01-06;17;2;80;47;6;False
2023-01-07;19;0;96;27;4;False
2023-01-08;22;1;100;24;7;False
2023-01-09;16;2;75;46;4;False
2023-01-10;18;15;72;55;6;False
2023-01-11;17;7;71;54;7;False
2023-01-12;19;1;71;54;6;False
2023-01-13;18;2;75;47;5;False
2023-01-14;20;1;86;24;4;False
2023-01-15;23;1;91;27;5;False
2023-01-16;19;2;70;49;5;False
2023-01-17;24;2;67;51;4;False
2023-01-18;18;2;71;47;6;False
2023-01-19;14;1;66;51;6;False
2023-01-20;16;2;75;47;5;False
2023-01-21;25;1;90;26;5;False
2023-01-22;19;1;82;26;5;False
2023-01-23;16;2;73;55;6;False
2023-01-24;19;0;70;58;4;False
2023-01-25;17;1;66;51;6;False
2023-01-26;17;0;71;48;5;False
2023-01-27;16;1;78;41;4;False
2023-01-28;18;0;84;27;5;False
2023-01-29;18;0;89;26;5;False
2023-01-30;17;1;73;42;8;False
2023-01-31;17;0;67;53;7;False
