date;Harlequins;Shakira;Latvia;Arctic Monkeys;air travel;isPartial
2022-01-02;9;3;4;5;4;False
2022-01-09;6;4;4;5;5;False
2022-01-16;6;3;4;4;4;False
2022-01-23;6;3;5;5;4;False
2022-01-30;4;4;5;4;5;False
2022-02-06;4;3;5;5;5;False
2022-02-13;6;4;6;4;5;False
2022-02-20;4;3;12;4;5;False
2022-02-27;5;3;11;4;4;False
2022-03-06;3;3;7;4;5;False
2022-03-13;5;3;6;4;4;False
2022-03-20;2;4;7;4;4;False
2022-03-27;4;3;5;4;5;False
2022-04-03;4;3;6;4;4;False
2022-04-10;7;3;5;4;4;False
2022-04-17;5;4;5;4;4;False
2022-04-24;5;3;5;4;4;False
2022-05-01;3;4;5;4;4;False
2022-05-08;2;4;11;4;4;False
2022-05-15;7;5;6;4;5;False
2022-05-22;3;5;5;4;4;False
2022-05-29;3;27;5;4;5;False
2022-06-05;7;24;6;5;5;False
2022-06-12;3;13;5;5;4;False
2022-06-19;1;10;5;5;4;False
2022-06-26;1;9;5;5;4;False
2022-07-03;1;6;5;5;5;False
2022-07-10;1;5;5;5;5;False
2022-07-17;2;5;5;5;5;False
2022-07-24;2;11;5;5;5;False
2022-07-31;2;49;5;5;4;False
2022-08-07;2;20;5;12;4;False
2022-08-14;2;9;5;9;4;False
2022-08-21;3;10;6;18;3;False
2022-08-28;3;7;5;31;4;False
2022-09-04;3;5;5;8;4;False
2022-09-11;5;5;5;7;3;False
2022-09-18;4;5;6;25;3;False
2022-09-25;6;14;5;100;3;False
2022-10-02;5;6;5;16;3;False
2022-10-09;4;6;5;13;3;False
2022-10-16;5;6;4;22;3;False
2022-10-23;7;5;4;16;3;False
2022-10-30;3;7;4;13;3;False
2022-11-06;3;6;4;12;3;False
2022-11-13;5;5;5;8;2;False
2022-11-20;4;9;4;5;3;False
2022-11-27;4;8;4;7;3;False
2022-12-04;4;6;4;7;3;False
2022-12-11;4;5;4;6;3;False
2022-12-18;4;6;5;7;2;False
2022-12-25;7;5;4;8;3;False
2023-01-01;4;5;4;8;4;False
2023-01-08;4;21;5;7;4;False
2023-01-15;6;37;4;7;3;False
2023-01-22;3;15;5;8;3;False
2023-01-29;4;11;4;7;3;False
