date;Police and crime commissioners;sam smith;Cancer research;Blondie;air travel;isPartial
2022-01-02;0;6;11;7;9;False
2022-01-09;0;5;11;7;10;False
2022-01-16;0;5;10;7;8;False
2022-01-23;0;5;11;8;8;False
2022-01-30;0;5;11;9;10;False
2022-02-06;0;5;11;10;10;False
2022-02-13;0;6;9;9;10;False
2022-02-20;0;5;10;9;10;False
2022-02-27;0;6;11;9;9;False
2022-03-06;0;5;9;9;9;False
2022-03-13;0;4;10;8;9;False
2022-03-20;0;5;8;8;9;False
2022-03-27;0;5;10;8;9;False
2022-04-03;0;5;9;11;8;False
2022-04-10;0;5;9;12;7;False
2022-04-17;0;8;9;14;8;False
2022-04-24;0;6;9;22;8;False
2022-05-01;0;6;11;20;9;False
2022-05-08;0;7;12;9;9;False
2022-05-15;0;7;11;8;9;False
2022-05-22;0;5;11;8;9;False
2022-05-29;0;7;10;8;9;False
2022-06-05;0;10;10;8;10;False
2022-06-12;0;6;10;8;9;False
2022-06-19;0;6;10;7;8;False
2022-06-26;0;11;11;9;9;False
2022-07-03;0;6;9;8;9;False
2022-07-10;0;5;9;10;10;False
2022-07-17;0;6;9;9;9;False
2022-07-24;0;5;9;10;9;False
2022-07-31;0;6;8;7;8;False
2022-08-07;0;5;9;9;8;False
2022-08-14;0;5;8;7;8;False
2022-08-21;0;5;8;8;7;False
2022-08-28;0;7;10;8;7;False
2022-09-04;0;14;10;8;8;False
2022-09-11;0;17;11;9;7;False
2022-09-18;0;22;11;8;7;False
2022-09-25;0;18;12;10;7;False
2022-10-02;0;20;11;9;7;False
2022-10-09;0;20;12;7;6;False
2022-10-16;0;25;11;7;6;False
2022-10-23;0;28;11;7;5;False
2022-10-30;0;17;12;7;5;False
2022-11-06;0;22;11;7;6;False
2022-11-13;0;14;10;7;5;False
2022-11-20;0;11;10;6;6;False
2022-11-27;0;10;11;9;6;False
2022-12-04;0;14;10;7;5;False
2022-12-11;0;22;10;6;5;False
2022-12-18;0;14;9;8;5;False
2022-12-25;0;21;8;9;7;False
2023-01-01;0;16;12;8;8;False
2023-01-08;0;14;11;8;7;False
2023-01-15;0;14;11;8;7;False
2023-01-22;0;36;11;8;6;False
2023-01-29;0;100;13;8;7;False
