date;House of Commons;Industrial action;Tyre Nichols;France holidays;air travel;isPartial
2022-01-02;5;1;0;10;10;False
2022-01-09;11;1;0;13;12;False
2022-01-16;8;1;0;8;9;False
2022-01-23;7;0;0;10;10;False
2022-01-30;16;1;0;9;11;False
2022-02-06;8;1;0;9;11;False
2022-02-13;5;1;0;9;11;False
2022-02-20;8;1;0;8;11;False
2022-02-27;6;1;0;7;10;False
2022-03-06;13;1;0;7;10;False
2022-03-13;6;1;0;8;10;False
2022-03-20;6;1;0;8;10;False
2022-03-27;6;1;0;8;11;False
2022-04-03;4;1;0;9;10;False
2022-04-10;4;1;0;9;8;False
2022-04-17;10;1;0;9;9;False
2022-04-24;11;1;0;9;10;False
2022-05-01;8;1;0;10;10;False
2022-05-08;7;1;0;8;10;False
2022-05-15;7;1;0;10;11;False
2022-05-22;7;1;0;11;10;False
2022-05-29;4;1;0;9;10;False
2022-06-05;8;2;0;10;12;False
2022-06-12;5;4;0;9;10;False
2022-06-19;6;5;0;9;9;False
2022-06-26;6;2;0;9;10;False
2022-07-03;11;1;0;9;11;False
2022-07-10;10;2;0;10;11;False
2022-07-17;6;3;0;9;10;False
2022-07-24;3;4;0;9;10;False
2022-07-31;4;2;0;8;9;False
2022-08-07;4;4;0;8;9;False
2022-08-14;3;4;0;8;9;False
2022-08-21;3;3;0;7;8;False
2022-08-28;5;4;0;7;9;False
2022-09-04;18;5;0;6;9;False
2022-09-11;9;3;0;4;8;False
2022-09-18;7;3;0;5;8;False
2022-09-25;5;4;0;5;8;False
2022-10-02;5;5;0;5;8;False
2022-10-09;7;3;0;5;7;False
2022-10-16;21;3;0;5;7;False
2022-10-23;13;4;0;5;6;False
2022-10-30;9;5;0;6;6;False
2022-11-06;7;4;0;5;7;False
2022-11-13;7;4;0;4;6;False
2022-11-20;6;6;0;4;7;False
2022-11-27;6;5;0;4;7;False
2022-12-04;6;6;0;4;6;False
2022-12-11;5;7;0;4;6;False
2022-12-18;4;5;0;5;6;False
2022-12-25;3;3;0;9;8;False
2023-01-01;5;4;0;13;9;False
2023-01-08;7;3;0;11;8;False
2023-01-15;7;3;2;11;8;False
2023-01-22;6;5;100;9;7;False
2023-01-29;6;6;45;9;8;False
