date;HBO;Marriage;partygate;Refugees;air travel;isPartial
2023-01-01;20;61;0;7;7;False
2023-01-02;14;74;0;8;8;False
2023-01-03;16;66;0;9;5;False
2023-01-04;14;67;0;9;8;False
2023-01-05;12;67;1;9;7;False
2023-01-06;13;68;1;7;7;False
2023-01-07;15;61;0;5;5;False
2023-01-08;19;78;0;6;8;False
2023-01-09;16;70;0;10;5;False
2023-01-10;26;67;0;8;7;False
2023-01-11;22;66;7;11;8;False
2023-01-12;19;69;6;9;7;False
2023-01-13;19;60;3;6;6;False
2023-01-14;26;100;0;6;5;False
2023-01-15;39;92;1;6;6;False
2023-01-16;56;71;1;7;6;False
2023-01-17;42;67;1;8;5;False
2023-01-18;31;76;1;8;7;False
2023-01-19;23;66;0;8;7;False
2023-01-20;21;69;0;10;6;False
2023-01-21;27;67;1;6;6;False
2023-01-22;29;74;0;7;7;False
2023-01-23;29;73;1;11;7;False
2023-01-24;27;74;2;8;5;False
2023-01-25;19;65;0;12;7;False
2023-01-26;16;66;0;10;6;False
2023-01-27;19;65;0;10;4;False
2023-01-28;19;63;0;10;6;False
2023-01-29;23;68;1;6;6;False
2023-01-30;29;76;0;13;9;False
2023-01-31;23;69;0;10;8;False
