date;Phil Spector;Equality Act 2010;abortion;National newspapers;air travel;isPartial
2022-01-02;0;3;14;0;5;False
2022-01-09;4;3;13;0;5;False
2022-01-16;1;3;13;0;4;False
2022-01-23;1;3;13;0;4;False
2022-01-30;0;3;14;0;5;False
2022-02-06;1;3;14;0;5;False
2022-02-13;0;3;12;0;5;False
2022-02-20;0;3;14;0;5;False
2022-02-27;0;3;13;0;4;False
2022-03-06;0;3;13;0;5;False
2022-03-13;0;3;14;0;5;False
2022-03-20;0;3;13;0;4;False
2022-03-27;0;3;13;0;5;False
2022-04-03;0;3;12;0;4;False
2022-04-10;0;2;13;0;4;False
2022-04-17;0;3;13;0;4;False
2022-04-24;0;3;13;0;4;False
2022-05-01;0;3;45;0;4;False
2022-05-08;0;4;22;0;5;False
2022-05-15;0;3;17;0;5;False
2022-05-22;0;3;15;0;5;False
2022-05-29;0;2;13;0;5;False
2022-06-05;0;3;13;0;5;False
2022-06-12;0;3;13;0;4;False
2022-06-19;0;3;86;0;4;False
2022-06-26;0;2;100;0;4;False
2022-07-03;0;3;30;0;5;False
2022-07-10;0;2;18;0;5;False
2022-07-17;0;2;16;0;5;False
2022-07-24;0;2;24;0;5;False
2022-07-31;0;2;17;0;4;False
2022-08-07;0;2;16;0;4;False
2022-08-14;0;2;13;0;4;False
2022-08-21;0;2;13;0;3;False
2022-08-28;0;2;17;0;4;False
2022-09-04;0;2;14;0;4;False
2022-09-11;0;2;14;0;4;False
2022-09-18;0;3;13;0;3;False
2022-09-25;0;3;15;0;3;False
2022-10-02;0;3;14;0;3;False
2022-10-09;0;3;12;0;3;False
2022-10-16;0;3;13;0;3;False
2022-10-23;0;2;13;0;3;False
2022-10-30;1;4;12;0;3;False
2022-11-06;0;4;15;0;3;False
2022-11-13;0;3;13;0;3;False
2022-11-20;0;3;13;0;3;False
2022-11-27;1;3;13;0;3;False
2022-12-04;0;3;12;0;3;False
2022-12-11;1;3;12;0;3;False
2022-12-18;1;2;12;0;3;False
2022-12-25;3;1;12;0;3;False
2023-01-01;3;2;13;0;4;False
2023-01-08;10;3;14;0;4;False
2023-01-15;4;3;13;0;4;False
2023-01-22;2;3;14;0;3;False
2023-01-29;1;3;14;0;4;False
