date;Malaysia Airlines flight MH17;emmanuel macron;Little Simz;UK criminal justice;air travel;isPartial
2022-01-02;0;5;5;2;27;False
2022-01-09;0;2;5;2;31;False
2022-01-16;0;2;3;2;23;False
2022-01-23;0;2;5;2;25;False
2022-01-30;0;2;6;2;29;False
2022-02-06;0;6;100;2;29;False
2022-02-13;1;2;10;2;29;False
2022-02-20;0;7;7;2;29;False
2022-02-27;0;7;7;2;26;False
2022-03-06;0;5;7;2;27;False
2022-03-13;0;4;15;2;27;False
2022-03-20;0;3;27;2;26;False
2022-03-27;0;3;16;2;28;False
2022-04-03;0;6;14;2;25;False
2022-04-10;0;14;9;2;22;False
2022-04-17;0;14;9;1;25;False
2022-04-24;0;40;5;2;25;False
2022-05-01;0;4;6;2;26;False
2022-05-08;0;3;4;2;27;False
2022-05-15;0;3;2;2;28;False
2022-05-22;0;1;4;2;26;False
2022-05-29;0;3;3;2;27;False
2022-06-05;0;3;5;1;30;False
2022-06-12;0;4;4;1;26;False
2022-06-19;0;5;19;1;24;False
2022-06-26;0;3;11;1;26;False
2022-07-03;0;2;6;1;27;False
2022-07-10;1;3;3;2;28;False
2022-07-17;0;2;5;1;27;False
2022-07-24;0;3;6;1;27;False
2022-07-31;0;4;2;1;24;False
2022-08-07;0;2;4;1;23;False
2022-08-14;0;2;3;1;23;False
2022-08-21;0;8;6;2;20;False
2022-08-28;0;4;7;1;22;False
2022-09-04;1;6;5;2;24;False
2022-09-11;0;3;3;2;21;False
2022-09-18;0;19;3;1;20;False
2022-09-25;0;3;3;2;20;False
2022-10-02;0;5;3;2;20;False
2022-10-09;0;3;2;3;19;False
2022-10-16;0;2;28;2;17;False
2022-10-23;0;4;6;1;16;False
2022-10-30;0;1;5;1;16;False
2022-11-06;0;4;16;2;18;False
2022-11-13;0;2;6;2;15;False
2022-11-20;0;2;3;2;19;False
2022-11-27;0;3;4;2;18;False
2022-12-04;0;3;7;1;15;False
2022-12-11;0;5;22;2;16;False
2022-12-18;1;16;16;2;15;False
2022-12-25;0;2;9;1;20;False
2023-01-01;0;2;9;1;23;False
2023-01-08;0;3;9;2;21;False
2023-01-15;0;2;7;2;21;False
2023-01-22;0;1;8;2;19;False
2023-01-29;0;5;7;2;21;False
