date;Men's fashion;Mallorca holidays;idaho;Zambia;air travel;isPartial
2022-01-02;8;2;6;8;14;False
2022-01-09;8;3;7;10;17;False
2022-01-16;7;2;5;9;12;False
2022-01-23;6;3;6;9;14;False
2022-01-30;9;3;6;10;16;False
2022-02-06;7;2;6;9;15;False
2022-02-13;7;3;6;9;16;False
2022-02-20;7;2;6;10;16;False
2022-02-27;7;2;5;9;14;False
2022-03-06;8;3;5;10;15;False
2022-03-13;7;3;6;11;14;False
2022-03-20;8;3;6;10;14;False
2022-03-27;7;2;5;11;15;False
2022-04-03;7;3;5;11;14;False
2022-04-10;8;3;6;9;12;False
2022-04-17;7;3;6;10;13;False
2022-04-24;7;3;5;9;14;False
2022-05-01;9;4;6;10;14;False
2022-05-08;8;4;5;14;14;False
2022-05-15;8;4;6;9;15;False
2022-05-22;8;4;5;9;14;False
2022-05-29;8;4;6;9;14;False
2022-06-05;10;4;6;14;16;False
2022-06-12;8;4;7;12;14;False
2022-06-19;8;4;5;11;13;False
2022-06-26;8;3;6;9;14;False
2022-07-03;8;3;6;10;15;False
2022-07-10;8;4;6;11;15;False
2022-07-17;7;4;6;11;15;False
2022-07-24;8;4;6;10;14;False
2022-07-31;7;3;6;9;13;False
2022-08-07;7;3;7;11;13;False
2022-08-14;6;3;7;8;12;False
2022-08-21;8;4;7;9;11;False
2022-08-28;7;3;7;11;12;False
2022-09-04;7;3;7;10;13;False
2022-09-11;8;2;6;10;11;False
2022-09-18;8;2;6;9;11;False
2022-09-25;9;2;6;12;11;False
2022-10-02;9;2;6;9;11;False
2022-10-09;7;2;6;10;10;False
2022-10-16;7;2;5;9;9;False
2022-10-23;6;2;7;9;9;False
2022-10-30;7;1;5;8;8;False
2022-11-06;8;1;6;9;10;False
2022-11-13;9;1;22;12;8;False
2022-11-20;9;1;41;11;10;False
2022-11-27;8;1;34;12;10;False
2022-12-04;9;1;61;10;8;False
2022-12-11;9;1;58;10;9;False
2022-12-18;7;1;44;9;8;False
2022-12-25;9;3;86;9;11;False
2023-01-01;7;4;100;10;12;False
2023-01-08;6;3;56;9;11;False
2023-01-15;7;4;30;10;11;False
2023-01-22;7;3;18;9;10;False
2023-01-29;6;3;15;10;11;False
