date;Polar regions;GB News;Capital gains tax;Football League;air travel;isPartial
2022-01-02;0;21;11;52;7;False
2022-01-09;0;15;11;56;7;False
2022-01-16;0;17;12;68;6;False
2022-01-23;0;16;12;74;6;False
2022-01-30;0;14;12;52;7;False
2022-02-06;0;13;10;71;7;False
2022-02-13;0;13;9;70;7;False
2022-02-20;0;19;9;78;7;False
2022-02-27;0;17;9;69;6;False
2022-03-06;0;15;8;78;7;False
2022-03-13;0;11;9;82;7;False
2022-03-20;0;12;9;63;6;False
2022-03-27;0;10;10;61;7;False
2022-04-03;0;12;10;73;6;False
2022-04-10;0;11;8;80;5;False
2022-04-17;0;12;8;87;6;False
2022-04-24;0;13;8;80;6;False
2022-05-01;0;13;9;97;6;False
2022-05-08;0;12;8;82;7;False
2022-05-15;0;13;8;88;7;False
2022-05-22;0;11;8;82;6;False
2022-05-29;0;12;6;39;7;False
2022-06-05;0;15;9;39;7;False
2022-06-12;0;15;8;32;6;False
2022-06-19;0;13;7;22;6;False
2022-06-26;0;12;8;22;6;False
2022-07-03;0;18;8;31;7;False
2022-07-10;0;20;7;30;7;False
2022-07-17;0;16;8;29;7;False
2022-07-24;0;15;8;46;7;False
2022-07-31;0;15;8;83;6;False
2022-08-07;0;13;8;75;6;False
2022-08-14;0;18;8;71;6;False
2022-08-21;0;16;9;81;5;False
2022-08-28;0;17;7;100;5;False
2022-09-04;0;19;8;82;6;False
2022-09-11;0;16;8;71;5;False
2022-09-18;0;14;8;74;5;False
2022-09-25;0;17;8;70;5;False
2022-10-02;0;15;8;82;5;False
2022-10-09;0;18;8;89;5;False
2022-10-16;0;20;8;87;4;False
2022-10-23;0;18;8;85;4;False
2022-10-30;0;17;15;78;4;False
2022-11-06;0;16;11;93;4;False
2022-11-13;0;17;24;58;4;False
2022-11-20;0;15;10;46;5;False
2022-11-27;0;15;9;41;4;False
2022-12-04;0;16;7;35;4;False
2022-12-11;0;16;8;29;4;False
2022-12-18;0;19;8;30;4;False
2022-12-25;0;16;6;75;5;False
2023-01-01;0;18;10;72;6;False
2023-01-08;0;18;11;65;5;False
2023-01-15;0;17;13;72;5;False
2023-01-22;0;20;14;71;5;False
2023-01-29;0;18;14;68;5;False
