date;Amphibians;Missouri;Digestive disorders;Activism;air travel;isPartial
2022-01-02;10;56;0;9;79;False
2022-01-09;20;53;3;9;86;False
2022-01-16;12;48;2;13;67;False
2022-01-23;16;66;0;8;74;False
2022-01-30;17;57;1;17;84;False
2022-02-06;13;60;0;13;84;False
2022-02-13;12;53;0;11;84;False
2022-02-20;12;55;0;15;86;False
2022-02-27;18;44;2;14;75;False
2022-03-06;21;43;1;18;79;False
2022-03-13;18;53;1;16;79;False
2022-03-20;19;45;1;11;77;False
2022-03-27;16;44;0;10;82;False
2022-04-03;10;43;1;10;75;False
2022-04-10;13;44;0;8;65;False
2022-04-17;13;50;2;15;72;False
2022-04-24;15;48;1;13;74;False
2022-05-01;20;100;2;16;76;False
2022-05-08;22;47;0;14;79;False
2022-05-15;18;45;1;12;82;False
2022-05-22;14;49;0;13;77;False
2022-05-29;9;41;0;8;79;False
2022-06-05;12;45;0;13;88;False
2022-06-12;14;40;1;9;77;False
2022-06-19;16;49;2;11;71;False
2022-06-26;15;54;1;9;77;False
2022-07-03;13;45;2;9;81;False
2022-07-10;10;41;0;9;84;False
2022-07-17;10;55;0;10;80;False
2022-07-24;9;48;0;6;79;False
2022-07-31;9;49;1;7;71;False
2022-08-07;7;46;1;7;69;False
2022-08-14;9;42;1;7;68;False
2022-08-21;6;49;2;5;59;False
2022-08-28;9;48;0;7;65;False
2022-09-04;7;44;1;11;70;False
2022-09-11;13;57;1;10;61;False
2022-09-18;13;42;1;9;58;False
2022-09-25;20;42;0;12;60;False
2022-10-02;16;48;1;12;57;False
2022-10-09;14;49;1;13;55;False
2022-10-16;13;50;1;13;50;False
2022-10-23;10;53;0;15;47;False
2022-10-30;9;45;0;14;46;False
2022-11-06;15;57;0;19;52;False
2022-11-13;11;47;1;17;44;False
2022-11-20;11;42;0;19;55;False
2022-11-27;11;43;0;17;53;False
2022-12-04;14;31;0;16;45;False
2022-12-11;11;38;0;11;47;False
2022-12-18;6;58;0;9;44;False
2022-12-25;8;64;0;6;58;False
2023-01-01;10;65;3;12;67;False
2023-01-08;14;48;0;14;62;False
2023-01-15;16;60;1;12;60;False
2023-01-22;18;48;1;14;56;False
2023-01-29;19;41;0;14;60;False
