date;Michael Apted;Mathematics;Green Bay Packers;DH Lawrence;air travel;isPartial
2022-01-02;2;67;33;2;64;False
2022-01-09;1;84;24;5;70;False
2022-01-16;0;80;29;2;55;False
2022-01-23;1;92;58;3;61;False
2022-01-30;0;88;12;8;69;False
2022-02-06;0;94;11;4;69;False
2022-02-13;0;77;10;4;69;False
2022-02-20;0;82;10;4;70;False
2022-02-27;0;84;22;4;62;False
2022-03-06;2;86;14;2;65;False
2022-03-13;0;85;15;3;64;False
2022-03-20;0;91;19;1;63;False
2022-03-27;0;81;13;4;67;False
2022-04-03;0;76;10;2;61;False
2022-04-10;1;70;12;3;53;False
2022-04-17;0;75;8;4;59;False
2022-04-24;1;91;16;4;61;False
2022-05-01;0;90;21;4;62;False
2022-05-08;0;91;12;4;64;False
2022-05-15;0;95;10;4;67;False
2022-05-22;0;87;10;4;63;False
2022-05-29;0;67;11;2;64;False
2022-06-05;0;91;10;3;72;False
2022-06-12;0;83;9;3;63;False
2022-06-19;0;91;27;4;58;False
2022-06-26;1;77;10;2;63;False
2022-07-03;0;60;10;3;66;False
2022-07-10;0;58;9;3;68;False
2022-07-17;0;54;10;3;65;False
2022-07-24;2;48;26;2;65;False
2022-07-31;0;41;13;4;58;False
2022-08-07;0;51;13;2;56;False
2022-08-14;0;59;10;4;55;False
2022-08-21;0;64;14;3;48;False
2022-08-28;1;60;15;4;53;False
2022-09-04;0;75;11;3;57;False
2022-09-11;1;88;32;1;50;False
2022-09-18;0;91;28;4;47;False
2022-09-25;1;92;30;6;49;False
2022-10-02;1;100;65;3;47;False
2022-10-09;0;91;89;4;45;False
2022-10-16;0;86;23;1;41;False
2022-10-23;1;71;25;3;38;False
2022-10-30;0;88;21;4;38;False
2022-11-06;1;88;22;4;43;False
2022-11-13;0;82;39;4;36;False
2022-11-20;0;76;12;3;45;False
2022-11-27;0;86;19;6;44;False
2022-12-04;0;78;15;7;37;False
2022-12-11;0;68;15;6;38;False
2022-12-18;0;49;27;4;36;False
2022-12-25;0;46;31;3;47;False
2023-01-01;1;77;30;3;55;False
2023-01-08;0;84;30;3;51;False
2023-01-15;1;87;12;5;49;False
2023-01-22;0;86;11;2;46;False
2023-01-29;2;94;10;4;49;False
