date;League Two;King Charles coronation;Conducting;paris;air travel;isPartial
2023-01-01;2;4;0;87;2;False
2023-01-02;2;4;0;88;2;False
2023-01-03;1;5;0;79;1;False
2023-01-04;1;4;1;77;2;False
2023-01-05;1;4;1;66;1;False
2023-01-06;1;3;1;69;1;False
2023-01-07;3;2;0;77;1;False
2023-01-08;2;3;0;100;2;False
2023-01-09;1;3;1;63;1;False
2023-01-10;1;3;1;64;2;False
2023-01-11;1;2;0;67;2;False
2023-01-12;1;3;1;66;1;False
2023-01-13;1;2;1;60;1;False
2023-01-14;3;2;0;70;1;False
2023-01-15;1;2;1;78;1;False
2023-01-16;1;3;1;62;1;False
2023-01-17;1;2;0;60;1;False
2023-01-18;1;2;0;60;2;False
2023-01-19;1;2;1;65;1;False
2023-01-20;1;2;0;57;1;False
2023-01-21;3;3;0;62;1;False
2023-01-22;1;8;1;70;1;False
2023-01-23;1;5;0;63;1;False
2023-01-24;2;2;1;59;1;False
2023-01-25;1;2;1;77;2;False
2023-01-26;1;2;1;57;1;False
2023-01-27;1;2;0;54;1;False
2023-01-28;3;2;0;61;1;False
2023-01-29;2;3;0;69;1;False
2023-01-30;1;3;0;56;2;False
2023-01-31;2;3;1;56;2;False
