date;Pie;San Francisco;West African food and drink;Australian security and counter-terrorism;air travel;isPartial
2022-01-02;82;10;0;0;4;False
2022-01-09;78;10;0;0;4;False
2022-01-16;72;10;0;0;3;False
2022-01-23;73;11;0;0;3;False
2022-01-30;73;10;0;0;4;False
2022-02-06;67;9;0;0;4;False
2022-02-13;63;9;0;0;4;False
2022-02-20;62;10;0;0;4;False
2022-02-27;57;9;0;0;3;False
2022-03-06;70;9;0;0;4;False
2022-03-13;60;10;0;0;4;False
2022-03-20;58;11;0;0;3;False
2022-03-27;53;10;0;0;4;False
2022-04-03;57;10;0;0;3;False
2022-04-10;58;10;0;0;3;False
2022-04-17;51;10;0;0;3;False
2022-04-24;53;10;0;0;3;False
2022-05-01;57;11;0;0;3;False
2022-05-08;53;10;0;0;3;False
2022-05-15;48;10;0;0;4;False
2022-05-22;50;10;0;0;3;False
2022-05-29;54;10;0;0;4;False
2022-06-05;97;10;0;0;4;False
2022-06-12;55;10;0;0;3;False
2022-06-19;50;10;0;0;3;False
2022-06-26;54;10;0;0;3;False
2022-07-03;57;10;0;0;4;False
2022-07-10;47;12;0;0;4;False
2022-07-17;47;11;0;0;4;False
2022-07-24;53;11;0;0;4;False
2022-07-31;54;11;0;0;3;False
2022-08-07;51;12;0;0;3;False
2022-08-14;51;10;0;0;3;False
2022-08-21;57;10;0;0;3;False
2022-08-28;65;10;0;0;3;False
2022-09-04;65;11;0;0;3;False
2022-09-11;72;10;0;0;3;False
2022-09-18;76;10;0;0;3;False
2022-09-25;76;11;0;0;3;False
2022-10-02;85;10;0;0;3;False
2022-10-09;85;9;0;0;2;False
2022-10-16;86;9;0;0;2;False
2022-10-23;88;9;0;0;2;False
2022-10-30;82;9;0;0;2;False
2022-11-06;78;9;0;0;2;False
2022-11-13;80;8;0;0;2;False
2022-11-20;81;7;0;0;2;False
2022-11-27;76;8;0;0;2;False
2022-12-04;75;8;0;0;2;False
2022-12-11;88;9;0;0;2;False
2022-12-18;100;9;0;0;2;False
2022-12-25;97;10;0;0;3;False
2023-01-01;74;11;0;0;3;False
2023-01-08;73;11;0;0;3;False
2023-01-15;72;11;0;0;3;False
2023-01-22;75;11;0;0;2;False
2023-01-29;73;11;0;0;3;False
