date;Enrique Peña Nieto;Sega;SpaceX;European Commission;air travel;isPartial
2022-01-02;0;66;39;7;70;False
2022-01-09;0;63;31;14;76;False
2022-01-16;0;63;33;13;59;False
2022-01-23;0;62;80;9;65;False
2022-01-30;0;61;44;12;74;False
2022-02-06;1;62;50;13;74;False
2022-02-13;1;61;36;10;74;False
2022-02-20;1;57;33;15;76;False
2022-02-27;0;56;35;17;67;False
2022-03-06;0;60;31;15;70;False
2022-03-13;0;52;28;12;69;False
2022-03-20;0;53;31;15;68;False
2022-03-27;1;52;26;11;72;False
2022-04-03;0;63;45;12;66;False
2022-04-10;1;71;62;10;57;False
2022-04-17;0;71;50;12;64;False
2022-04-24;0;61;63;13;65;False
2022-05-01;0;67;43;11;67;False
2022-05-08;0;62;33;16;69;False
2022-05-15;0;62;38;9;72;False
2022-05-22;0;54;36;11;68;False
2022-05-29;1;100;24;7;70;False
2022-06-05;0;66;26;9;78;False
2022-06-12;0;62;39;12;68;False
2022-06-19;1;63;27;11;63;False
2022-06-26;1;56;27;7;68;False
2022-07-03;0;56;34;7;71;False
2022-07-10;3;64;39;12;74;False
2022-07-17;0;59;29;8;70;False
2022-07-24;0;51;27;10;70;False
2022-07-31;0;57;30;8;63;False
2022-08-07;1;54;32;7;61;False
2022-08-14;0;58;23;8;60;False
2022-08-21;2;70;32;8;52;False
2022-08-28;0;63;47;7;57;False
2022-09-04;0;58;33;11;62;False
2022-09-11;0;55;27;11;54;False
2022-09-18;1;59;25;14;51;False
2022-09-25;0;54;18;10;53;False
2022-10-02;0;60;41;12;51;False
2022-10-09;0;60;41;12;49;False
2022-10-16;0;58;37;12;44;False
2022-10-23;1;60;38;12;41;False
2022-10-30;1;66;54;12;41;False
2022-11-06;0;68;34;13;46;False
2022-11-13;0;65;38;15;39;False
2022-11-20;0;55;29;9;48;False
2022-11-27;0;62;28;12;47;False
2022-12-04;0;59;25;11;40;False
2022-12-11;0;67;30;11;41;False
2022-12-18;0;64;25;8;39;False
2022-12-25;0;78;27;2;51;False
2023-01-01;0;68;24;6;59;False
2023-01-08;0;61;36;11;55;False
2023-01-15;0;56;34;11;53;False
2023-01-22;0;57;27;13;49;False
2023-01-29;0;60;32;14;53;False
