date;Devon;Ken Russell;roe v wade;Urbanisation;air travel;isPartial
2022-01-02;69;0;0;1;4;False
2022-01-09;71;0;0;1;4;False
2022-01-16;67;0;0;1;3;False
2022-01-23;63;0;0;1;4;False
2022-01-30;70;0;0;1;4;False
2022-02-06;62;0;0;1;4;False
2022-02-13;74;0;0;1;4;False
2022-02-20;70;0;0;1;4;False
2022-02-27;62;0;0;1;4;False
2022-03-06;63;0;0;1;4;False
2022-03-13;67;0;0;1;4;False
2022-03-20;74;0;0;1;4;False
2022-03-27;68;0;0;1;4;False
2022-04-03;74;0;0;0;4;False
2022-04-10;74;0;0;0;3;False
2022-04-17;78;0;0;1;3;False
2022-04-24;66;0;0;1;4;False
2022-05-01;80;0;17;1;4;False
2022-05-08;77;0;3;1;4;False
2022-05-15;72;0;1;1;4;False
2022-05-22;76;0;1;1;4;False
2022-05-29;84;0;1;1;4;False
2022-06-05;85;0;1;1;4;False
2022-06-12;87;0;1;1;4;False
2022-06-19;83;0;26;1;3;False
2022-06-26;83;0;20;0;4;False
2022-07-03;81;0;4;0;4;False
2022-07-10;87;0;2;0;4;False
2022-07-17;89;0;1;0;4;False
2022-07-24;92;0;1;0;4;False
2022-07-31;86;1;1;0;3;False
2022-08-07;100;0;0;0;3;False
2022-08-14;94;0;0;0;3;False
2022-08-21;88;0;0;0;3;False
2022-08-28;80;0;0;0;3;False
2022-09-04;73;0;1;0;3;False
2022-09-11;69;0;0;1;3;False
2022-09-18;63;0;1;1;3;False
2022-09-25;64;0;1;1;3;False
2022-10-02;63;0;1;1;3;False
2022-10-09;61;0;0;1;3;False
2022-10-16;63;0;0;1;2;False
2022-10-23;62;0;0;0;2;False
2022-10-30;58;0;0;1;2;False
2022-11-06;57;0;1;1;3;False
2022-11-13;51;0;1;1;2;False
2022-11-20;50;0;0;1;3;False
2022-11-27;50;0;0;1;3;False
2022-12-04;48;0;1;1;2;False
2022-12-11;52;0;0;1;2;False
2022-12-18;49;0;0;0;2;False
2022-12-25;59;0;1;0;3;False
2023-01-01;68;0;1;0;3;False
2023-01-08;65;0;1;1;3;False
2023-01-15;65;0;0;1;3;False
2023-01-22;62;0;1;1;3;False
2023-01-29;61;0;0;1;3;False
