date;Roald Dahl;Detroit Lions;Norovirus;Sydney festival;air travel;isPartial
2022-01-02;35;4;31;0;37;False
2022-01-09;35;5;27;0;42;False
2022-01-16;30;2;30;0;31;False
2022-01-23;33;1;32;0;35;False
2022-01-30;37;2;34;1;40;False
2022-02-06;35;2;43;0;39;False
2022-02-13;37;2;38;1;40;False
2022-02-20;49;2;36;0;40;False
2022-02-27;81;2;46;0;35;False
2022-03-06;34;1;77;0;37;False
2022-03-13;28;3;72;0;37;False
2022-03-20;28;3;69;1;36;False
2022-03-27;27;3;81;0;38;False
2022-04-03;22;2;89;1;35;False
2022-04-10;24;3;67;0;30;False
2022-04-17;23;3;52;0;33;False
2022-04-24;25;3;48;0;35;False
2022-05-01;24;4;46;0;36;False
2022-05-08;24;3;43;1;37;False
2022-05-15;26;3;43;0;38;False
2022-05-22;28;2;36;0;36;False
2022-05-29;26;1;35;0;37;False
2022-06-05;24;1;37;0;41;False
2022-06-12;26;3;31;0;37;False
2022-06-19;28;1;33;0;33;False
2022-06-26;25;1;32;1;36;False
2022-07-03;25;1;31;0;38;False
2022-07-10;26;1;26;0;39;False
2022-07-17;22;2;26;0;37;False
2022-07-24;24;2;30;0;37;False
2022-07-31;23;2;27;1;33;False
2022-08-07;33;6;28;0;32;False
2022-08-14;27;5;27;1;32;False
2022-08-21;24;4;25;0;28;False
2022-08-28;32;8;27;2;30;False
2022-09-04;60;6;25;1;33;False
2022-09-11;100;7;26;0;28;False
2022-09-18;35;8;24;1;28;False
2022-09-25;33;6;31;0;28;False
2022-10-02;33;6;34;1;27;False
2022-10-09;31;7;35;0;26;False
2022-10-16;30;4;36;1;23;False
2022-10-23;30;4;43;1;22;False
2022-10-30;32;5;42;1;22;False
2022-11-06;45;5;42;1;24;False
2022-11-13;34;6;39;1;20;False
2022-11-20;35;8;38;0;26;False
2022-11-27;34;2;46;1;25;False
2022-12-04;31;6;46;1;21;False
2022-12-11;33;8;51;1;22;False
2022-12-18;35;9;70;0;20;False
2022-12-25;46;5;62;1;27;False
2023-01-01;38;6;39;1;31;False
2023-01-08;34;10;31;1;29;False
2023-01-15;30;2;35;1;28;False
2023-01-22;29;2;41;1;26;False
2023-01-29;33;2;45;0;28;False
