date;LCD Soundsystem;Robert Jenrick;Travel photography;Watergate;air travel;isPartial
2022-01-02;4;6;3;40;64;False
2022-01-09;2;2;2;43;74;False
2022-01-16;4;1;1;53;55;False
2022-01-23;3;3;3;47;60;False
2022-01-30;3;1;3;44;68;False
2022-02-06;2;2;3;37;68;False
2022-02-13;2;1;3;41;69;False
2022-02-20;6;2;3;36;70;False
2022-02-27;17;2;2;38;61;False
2022-03-06;31;2;1;36;65;False
2022-03-13;10;0;2;42;64;False
2022-03-20;5;3;5;51;63;False
2022-03-27;4;4;2;58;66;False
2022-04-03;5;1;2;58;62;False
2022-04-10;8;18;1;73;53;False
2022-04-17;6;5;3;64;58;False
2022-04-24;4;2;4;66;60;False
2022-05-01;4;4;3;64;62;False
2022-05-08;5;5;1;58;64;False
2022-05-15;4;1;4;61;66;False
2022-05-22;4;2;3;47;63;False
2022-05-29;6;2;2;70;64;False
2022-06-05;7;4;2;54;71;False
2022-06-12;9;1;4;72;64;False
2022-06-19;14;10;3;64;58;False
2022-06-26;61;2;2;50;62;False
2022-07-03;20;6;3;53;66;False
2022-07-10;6;3;2;58;68;False
2022-07-17;2;2;5;55;65;False
2022-07-24;2;0;5;65;64;False
2022-07-31;4;0;2;53;57;False
2022-08-07;7;1;2;100;56;False
2022-08-14;2;0;2;50;55;False
2022-08-21;4;2;3;57;48;False
2022-08-28;2;2;2;54;53;False
2022-09-04;2;9;3;41;57;False
2022-09-11;4;2;3;42;50;False
2022-09-18;3;3;1;45;48;False
2022-09-25;4;1;2;39;49;False
2022-10-02;5;3;2;43;47;False
2022-10-09;4;1;2;36;46;False
2022-10-16;5;5;1;35;41;False
2022-10-23;5;15;2;34;38;False
2022-10-30;5;23;1;33;38;False
2022-11-06;2;3;2;36;42;False
2022-11-13;2;3;2;29;36;False
2022-11-20;2;3;2;27;45;False
2022-11-27;4;2;2;29;43;False
2022-12-04;4;1;2;29;37;False
2022-12-11;3;2;2;28;38;False
2022-12-18;4;2;1;28;36;False
2022-12-25;3;1;2;37;47;False
2023-01-01;8;1;3;36;55;False
2023-01-08;5;1;2;33;51;False
2023-01-15;7;4;3;32;50;False
2023-01-22;4;2;3;32;45;False
2023-01-29;5;1;2;35;49;False
