date;Savings rates;Quiz and trivia games;tax;Fulham;air travel;isPartial
2022-01-02;1;0;69;4;1;False
2022-01-09;1;0;68;6;1;False
2022-01-16;1;0;76;6;1;False
2022-01-23;1;0;79;6;1;False
2022-01-30;1;0;100;7;1;False
2022-02-06;1;0;66;5;1;False
2022-02-13;1;0;60;4;1;False
2022-02-20;1;0;71;4;1;False
2022-02-27;1;0;76;4;1;False
2022-03-06;1;0;78;5;1;False
2022-03-13;1;0;71;4;1;False
2022-03-20;1;0;82;3;1;False
2022-03-27;1;0;89;3;1;False
2022-04-03;1;0;92;5;1;False
2022-04-10;1;0;72;6;1;False
2022-04-17;1;0;70;6;1;False
2022-04-24;1;0;85;5;1;False
2022-05-01;1;0;79;8;1;False
2022-05-08;1;0;71;3;1;False
2022-05-15;1;0;71;3;1;False
2022-05-22;1;0;78;3;1;False
2022-05-29;1;0;66;3;1;False
2022-06-05;1;0;70;3;1;False
2022-06-12;1;0;65;3;1;False
2022-06-19;1;0;68;3;1;False
2022-06-26;1;0;73;4;1;False
2022-07-03;1;0;71;5;1;False
2022-07-10;1;0;73;4;1;False
2022-07-17;1;0;63;4;1;False
2022-07-24;1;0;73;5;1;False
2022-07-31;2;0;73;16;1;False
2022-08-07;1;0;65;6;1;False
2022-08-14;1;0;55;6;1;False
2022-08-21;1;0;63;10;0;False
2022-08-28;1;0;69;10;1;False
2022-09-04;1;0;70;4;1;False
2022-09-11;1;0;62;7;0;False
2022-09-18;2;0;69;3;0;False
2022-09-25;3;0;73;6;0;False
2022-10-02;3;0;75;4;0;False
2022-10-09;3;0;58;7;0;False
2022-10-16;2;0;57;6;0;False
2022-10-23;2;0;63;7;0;False
2022-10-30;4;0;66;7;0;False
2022-11-06;3;0;64;4;0;False
2022-11-13;2;0;73;11;0;False
2022-11-20;2;0;54;3;0;False
2022-11-27;2;0;60;3;0;False
2022-12-04;1;0;51;3;0;False
2022-12-11;2;0;51;3;0;False
2022-12-18;1;0;52;3;0;False
2022-12-25;1;0;46;5;0;False
2023-01-01;2;0;70;5;1;False
2023-01-08;1;0;70;12;0;False
2023-01-15;1;0;75;7;0;False
2023-01-22;2;0;81;12;0;False
2023-01-29;2;0;95;11;0;False
