date;OECD;James Joyce;Civil partnerships;Entertainment TV;air travel;isPartial
2022-01-02;33;13;3;38;87;False
2022-01-09;40;14;3;34;100;False
2022-01-16;38;12;0;22;74;False
2022-01-23;39;16;2;28;82;False
2022-01-30;31;47;4;22;93;False
2022-02-06;34;17;3;23;93;False
2022-02-13;41;18;2;22;94;False
2022-02-20;39;14;3;22;95;False
2022-02-27;41;14;2;24;83;False
2022-03-06;37;11;0;21;88;False
2022-03-13;45;16;0;19;87;False
2022-03-20;55;13;3;21;85;False
2022-03-27;38;12;2;19;90;False
2022-04-03;31;12;2;24;82;False
2022-04-10;34;6;1;23;71;False
2022-04-17;46;14;3;20;79;False
2022-04-24;37;13;2;16;82;False
2022-05-01;41;24;1;18;84;False
2022-05-08;38;16;3;17;87;False
2022-05-15;38;17;3;17;90;False
2022-05-22;34;24;0;17;85;False
2022-05-29;22;15;2;18;87;False
2022-06-05;53;16;2;17;97;False
2022-06-12;35;28;3;18;85;False
2022-06-19;29;16;2;15;79;False
2022-06-26;28;10;0;18;85;False
2022-07-03;26;13;1;16;89;False
2022-07-10;32;11;1;20;92;False
2022-07-17;29;16;2;17;88;False
2022-07-24;33;13;1;17;87;False
2022-07-31;21;12;1;22;78;False
2022-08-07;26;9;0;15;76;False
2022-08-14;25;12;0;24;75;False
2022-08-21;30;12;2;46;65;False
2022-08-28;24;13;2;30;72;False
2022-09-04;27;43;2;23;77;False
2022-09-11;27;17;1;26;67;False
2022-09-18;27;27;0;23;66;False
2022-09-25;33;16;0;22;66;False
2022-10-02;34;15;1;20;63;False
2022-10-09;38;17;1;24;62;False
2022-10-16;39;13;0;23;55;False
2022-10-23;34;12;5;21;52;False
2022-10-30;30;16;4;20;51;False
2022-11-06;37;10;1;19;58;False
2022-11-13;53;11;1;20;48;False
2022-11-20;65;11;1;16;60;False
2022-11-27;41;15;2;19;59;False
2022-12-04;39;15;1;14;50;False
2022-12-11;40;16;4;14;52;False
2022-12-18;23;12;2;19;48;False
2022-12-25;18;16;2;18;64;False
2023-01-01;31;10;0;21;74;False
2023-01-08;38;12;2;22;69;False
2023-01-15;42;15;2;33;67;False
2023-01-22;44;12;1;29;62;False
2023-01-29;45;11;4;26;67;False
