date;Ford;Electric, hybrid and low-emission cars;Jack Monroe;Truman Capote;air travel;isPartial
2022-01-02;87;0;0;0;2;False
2022-01-09;83;0;0;0;2;False
2022-01-16;85;0;1;0;2;False
2022-01-23;89;0;3;0;2;False
2022-01-30;89;0;1;0;2;False
2022-02-06;87;0;2;0;2;False
2022-02-13;85;0;2;0;2;False
2022-02-20;88;0;0;0;2;False
2022-02-27;79;0;0;0;2;False
2022-03-06;84;0;1;0;2;False
2022-03-13;86;0;0;0;2;False
2022-03-20;87;0;1;0;2;False
2022-03-27;85;0;1;0;2;False
2022-04-03;83;0;1;0;2;False
2022-04-10;84;0;1;0;2;False
2022-04-17;76;0;1;0;2;False
2022-04-24;73;0;1;0;2;False
2022-05-01;88;0;1;0;2;False
2022-05-08;79;0;1;0;2;False
2022-05-15;83;0;2;0;2;False
2022-05-22;76;0;1;0;2;False
2022-05-29;80;0;1;0;2;False
2022-06-05;81;0;0;0;2;False
2022-06-12;82;0;0;0;2;False
2022-06-19;84;0;1;0;2;False
2022-06-26;82;0;0;0;2;False
2022-07-03;84;0;0;0;2;False
2022-07-10;85;0;0;0;2;False
2022-07-17;88;0;0;0;2;False
2022-07-24;88;0;1;0;2;False
2022-07-31;87;0;1;0;2;False
2022-08-07;84;0;1;0;2;False
2022-08-14;80;0;1;0;2;False
2022-08-21;87;0;1;0;1;False
2022-08-28;77;0;1;0;2;False
2022-09-04;80;0;1;0;2;False
2022-09-11;84;0;1;0;2;False
2022-09-18;75;0;0;0;1;False
2022-09-25;81;0;1;0;2;False
2022-10-02;78;0;0;0;1;False
2022-10-09;80;0;0;0;1;False
2022-10-16;77;0;0;0;1;False
2022-10-23;84;0;0;0;1;False
2022-10-30;78;0;0;0;1;False
2022-11-06;82;0;0;0;1;False
2022-11-13;90;0;0;0;1;False
2022-11-20;72;0;0;0;1;False
2022-11-27;81;0;0;0;1;False
2022-12-04;76;0;0;0;1;False
2022-12-11;81;0;0;0;1;False
2022-12-18;79;0;0;0;1;False
2022-12-25;80;0;0;0;1;False
2023-01-01;83;0;2;0;2;False
2023-01-08;85;0;1;0;2;False
2023-01-15;89;0;0;0;2;False
2023-01-22;100;0;0;0;1;False
2023-01-29;88;0;0;0;2;False
