date;nhs;Apple TV+;Creative writing;ITV plc;air travel;isPartial
2022-01-02;100;3;0;0;1;False
2022-01-09;87;2;0;0;1;False
2022-01-16;82;2;0;0;1;False
2022-01-23;81;2;0;0;1;False
2022-01-30;87;2;0;0;1;False
2022-02-06;80;2;0;0;1;False
2022-02-13;68;2;0;0;1;False
2022-02-20;74;2;0;0;1;False
2022-02-27;66;2;0;0;1;False
2022-03-06;69;2;0;0;1;False
2022-03-13;70;2;0;0;1;False
2022-03-20;75;2;0;0;1;False
2022-03-27;74;3;0;0;1;False
2022-04-03;69;2;0;0;1;False
2022-04-10;61;2;0;0;0;False
2022-04-17;59;3;0;0;1;False
2022-04-24;62;2;0;0;1;False
2022-05-01;63;2;0;0;1;False
2022-05-08;63;2;1;0;1;False
2022-05-15;61;2;1;0;1;False
2022-05-22;59;2;0;0;1;False
2022-05-29;56;2;0;0;1;False
2022-06-05;65;2;0;0;1;False
2022-06-12;61;2;0;0;1;False
2022-06-19;60;2;0;0;1;False
2022-06-26;66;2;0;0;1;False
2022-07-03;62;2;0;0;1;False
2022-07-10;62;2;0;0;1;False
2022-07-17;66;2;0;0;1;False
2022-07-24;60;3;0;0;1;False
2022-07-31;61;3;0;0;1;False
2022-08-07;57;2;0;0;1;False
2022-08-14;55;3;0;0;1;False
2022-08-21;61;3;0;0;0;False
2022-08-28;55;2;0;0;0;False
2022-09-04;59;2;0;0;1;False
2022-09-11;65;2;0;0;0;False
2022-09-18;56;2;0;0;0;False
2022-09-25;60;2;0;0;0;False
2022-10-02;61;2;0;0;0;False
2022-10-09;63;2;0;0;0;False
2022-10-16;59;3;0;0;0;False
2022-10-23;61;2;0;0;0;False
2022-10-30;64;2;0;0;0;False
2022-11-06;59;3;0;0;0;False
2022-11-13;58;3;0;0;0;False
2022-11-20;55;2;0;0;0;False
2022-11-27;54;3;0;0;0;False
2022-12-04;57;3;0;0;0;False
2022-12-11;56;3;0;0;0;False
2022-12-18;59;3;0;0;0;False
2022-12-25;41;4;0;0;0;False
2023-01-01;60;3;0;0;1;False
2023-01-08;61;2;0;0;0;False
2023-01-15;63;2;0;0;0;False
2023-01-22;63;3;0;0;0;False
2023-01-29;62;2;0;0;0;False
