date;Eddie Murphy;County Durham;United Kingdom holidays;Dresses;air travel;isPartial
2022-01-02;1;3;0;56;2;False
2022-01-09;1;2;0;63;2;False
2022-01-16;1;3;0;63;2;False
2022-01-23;1;3;0;68;2;False
2022-01-30;1;3;0;73;2;False
2022-02-06;1;2;0;76;2;False
2022-02-13;1;3;0;69;2;False
2022-02-20;1;3;0;72;2;False
2022-02-27;1;3;0;71;2;False
2022-03-06;1;2;0;78;2;False
2022-03-13;1;3;0;81;2;False
2022-03-20;1;3;0;87;2;False
2022-03-27;1;3;0;83;2;False
2022-04-03;1;3;0;76;2;False
2022-04-10;1;3;0;86;1;False
2022-04-17;1;3;0;90;2;False
2022-04-24;1;3;0;84;2;False
2022-05-01;1;3;0;98;2;False
2022-05-08;1;3;0;86;2;False
2022-05-15;1;3;0;92;2;False
2022-05-22;1;3;0;90;2;False
2022-05-29;1;3;0;88;2;False
2022-06-05;1;3;0;87;2;False
2022-06-12;1;3;0;98;2;False
2022-06-19;1;3;0;86;2;False
2022-06-26;1;3;0;83;2;False
2022-07-03;1;3;0;83;2;False
2022-07-10;1;3;0;100;2;False
2022-07-17;1;3;0;85;2;False
2022-07-24;1;3;0;68;2;False
2022-07-31;1;2;0;72;2;False
2022-08-07;1;3;0;75;2;False
2022-08-14;1;3;0;61;2;False
2022-08-21;1;3;0;61;1;False
2022-08-28;1;3;0;58;1;False
2022-09-04;1;2;0;56;2;False
2022-09-11;1;3;0;57;1;False
2022-09-18;1;2;0;50;1;False
2022-09-25;1;2;0;52;1;False
2022-10-02;2;2;0;51;1;False
2022-10-09;2;2;0;50;1;False
2022-10-16;1;2;0;48;1;False
2022-10-23;2;2;0;50;1;False
2022-10-30;1;2;0;47;1;False
2022-11-06;1;2;0;54;1;False
2022-11-13;1;2;0;52;1;False
2022-11-20;1;2;0;46;1;False
2022-11-27;1;2;0;45;1;False
2022-12-04;1;2;0;37;1;False
2022-12-11;1;2;0;33;1;False
2022-12-18;1;2;0;30;1;False
2022-12-25;1;2;0;38;1;False
2023-01-01;1;3;0;45;2;False
2023-01-08;3;2;0;55;1;False
2023-01-15;2;2;0;54;1;False
2023-01-22;2;2;0;53;1;False
2023-01-29;3;3;0;55;1;False
