date;royal navy;Marseille;unite;Spain;air travel;isPartial
2022-01-02;4;2;2;49;2;False
2022-01-09;4;2;3;50;2;False
2022-01-16;3;2;3;52;1;False
2022-01-23;3;2;3;52;1;False
2022-01-30;3;2;3;55;2;False
2022-02-06;3;2;2;56;2;False
2022-02-13;2;3;3;49;2;False
2022-02-20;3;3;2;49;2;False
2022-02-27;3;2;3;52;1;False
2022-03-06;3;3;2;55;2;False
2022-03-13;2;3;3;57;2;False
2022-03-20;2;2;3;62;2;False
2022-03-27;2;2;2;65;2;False
2022-04-03;2;3;3;71;1;False
2022-04-10;2;4;2;64;1;False
2022-04-17;2;4;2;59;1;False
2022-04-24;2;3;3;60;1;False
2022-05-01;2;4;2;72;2;False
2022-05-08;2;3;2;68;2;False
2022-05-15;2;3;2;77;2;False
2022-05-22;2;3;2;67;2;False
2022-05-29;2;3;2;59;2;False
2022-06-05;2;3;2;62;2;False
2022-06-12;2;2;2;59;2;False
2022-06-19;2;2;3;56;1;False
2022-06-26;2;2;3;54;2;False
2022-07-03;2;3;2;56;2;False
2022-07-10;3;3;3;64;2;False
2022-07-17;2;4;3;78;2;False
2022-07-24;2;3;3;61;2;False
2022-07-31;2;3;3;53;1;False
2022-08-07;2;3;3;57;1;False
2022-08-14;2;3;3;44;1;False
2022-08-21;2;3;4;48;1;False
2022-08-28;2;4;4;48;1;False
2022-09-04;3;9;3;44;1;False
2022-09-11;3;4;3;44;1;False
2022-09-18;6;3;3;48;1;False
2022-09-25;2;2;3;45;1;False
2022-10-02;2;4;3;37;1;False
2022-10-09;2;3;3;39;1;False
2022-10-16;2;4;3;35;1;False
2022-10-23;2;3;3;31;1;False
2022-10-30;2;9;3;30;1;False
2022-11-06;3;2;3;31;1;False
2022-11-13;3;2;3;30;1;False
2022-11-20;2;1;3;58;1;False
2022-11-27;2;1;2;100;1;False
2022-12-04;2;1;3;80;1;False
2022-12-11;2;1;2;26;1;False
2022-12-18;2;1;2;25;1;False
2022-12-25;2;2;2;30;1;False
2023-01-01;2;2;2;40;1;False
2023-01-08;3;2;3;39;1;False
2023-01-15;2;3;3;37;1;False
2023-01-22;3;2;3;38;1;False
2023-01-29;3;3;3;37;1;False
