date;Cake;Top 10s;Emmerson Mnangagwa;Ultrarunning;air travel;isPartial
2022-01-02;88;0;0;0;2;False
2022-01-09;94;0;0;0;2;False
2022-01-16;97;0;0;0;2;False
2022-01-23;94;0;0;0;2;False
2022-01-30;99;0;0;0;2;False
2022-02-06;94;0;0;0;2;False
2022-02-13;95;0;0;0;2;False
2022-02-20;93;0;0;0;2;False
2022-02-27;89;0;0;0;2;False
2022-03-06;94;0;0;0;2;False
2022-03-13;92;0;0;0;2;False
2022-03-20;96;0;0;0;2;False
2022-03-27;94;0;0;0;2;False
2022-04-03;85;0;0;0;2;False
2022-04-10;98;0;0;0;1;False
2022-04-17;80;0;0;0;2;False
2022-04-24;80;0;0;0;2;False
2022-05-01;84;0;0;0;2;False
2022-05-08;84;0;0;0;2;False
2022-05-15;89;0;0;0;2;False
2022-05-22;87;0;0;0;2;False
2022-05-29;100;0;0;0;2;False
2022-06-05;84;0;0;0;2;False
2022-06-12;78;0;0;0;2;False
2022-06-19;80;0;0;0;2;False
2022-06-26;83;0;0;0;2;False
2022-07-03;82;0;0;0;2;False
2022-07-10;74;0;0;0;2;False
2022-07-17;73;0;0;0;2;False
2022-07-24;80;0;0;0;2;False
2022-07-31;83;0;0;0;2;False
2022-08-07;77;0;0;0;2;False
2022-08-14;73;0;0;0;2;False
2022-08-21;78;0;0;0;1;False
2022-08-28;84;0;0;0;1;False
2022-09-04;84;0;0;0;2;False
2022-09-11;94;0;0;0;1;False
2022-09-18;95;0;0;0;1;False
2022-09-25;89;0;0;0;1;False
2022-10-02;91;0;0;0;1;False
2022-10-09;90;0;0;0;1;False
2022-10-16;83;0;0;0;1;False
2022-10-23;92;0;0;0;1;False
2022-10-30;87;0;0;0;1;False
2022-11-06;92;0;0;0;1;False
2022-11-13;89;0;0;0;1;False
2022-11-20;75;0;0;0;1;False
2022-11-27;74;0;0;0;1;False
2022-12-04;72;0;0;0;1;False
2022-12-11;82;0;0;0;1;False
2022-12-18;95;0;0;0;1;False
2022-12-25;65;0;0;0;1;False
2023-01-01;77;0;0;0;2;False
2023-01-08;78;0;0;0;1;False
2023-01-15;81;0;0;0;1;False
2023-01-22;89;0;0;0;1;False
2023-01-29;90;0;0;0;1;False
