date;chrissy teigen;Centrelink debt recovery;Energy storage;Ana de Armas;air travel;isPartial
2023-01-01;0;0;2;100;19;False
2023-01-02;4;0;7;42;23;False
2023-01-03;1;0;6;26;15;False
2023-01-04;3;0;8;36;22;False
2023-01-05;3;0;4;21;18;False
2023-01-06;4;0;6;35;18;False
2023-01-07;2;0;4;31;13;False
2023-01-08;3;0;11;30;21;False
2023-01-09;0;0;3;24;13;False
2023-01-10;3;0;8;36;20;False
2023-01-11;4;0;5;27;23;False
2023-01-12;0;0;5;30;19;False
2023-01-13;2;0;8;23;15;False
2023-01-14;26;0;5;19;14;False
2023-01-15;12;0;3;21;17;False
2023-01-16;9;0;7;17;17;False
2023-01-17;5;0;7;14;14;False
2023-01-18;2;0;11;11;20;False
2023-01-19;9;0;8;15;18;False
2023-01-20;11;0;9;17;15;False
2023-01-21;9;0;5;14;16;False
2023-01-22;2;0;7;19;18;False
2023-01-23;3;0;5;19;18;False
2023-01-24;4;0;9;32;14;False
2023-01-25;3;0;9;22;19;False
2023-01-26;3;0;8;15;17;False
2023-01-27;4;0;5;8;12;False
2023-01-28;4;0;0;16;17;False
2023-01-29;2;0;2;14;15;False
2023-01-30;5;0;7;10;25;False
2023-01-31;4;0;7;13;21;False
