date;king's coronation;Mobile phones;australia;The Observer;air travel;isPartial
2022-01-02;0;5;60;1;2;False
2022-01-09;0;4;60;1;2;False
2022-01-16;0;4;49;1;1;False
2022-01-23;0;4;44;1;2;False
2022-01-30;0;5;43;1;2;False
2022-02-06;0;4;45;1;2;False
2022-02-13;0;4;45;1;2;False
2022-02-20;0;4;50;1;2;False
2022-02-27;0;5;52;1;2;False
2022-03-06;0;4;54;1;2;False
2022-03-13;0;4;49;1;2;False
2022-03-20;0;5;51;1;2;False
2022-03-27;0;5;55;1;2;False
2022-04-03;0;4;63;1;2;False
2022-04-10;0;4;50;1;1;False
2022-04-17;0;4;45;1;1;False
2022-04-24;0;4;43;1;2;False
2022-05-01;0;4;43;1;2;False
2022-05-08;0;4;42;1;2;False
2022-05-15;0;4;40;0;2;False
2022-05-22;0;4;36;1;2;False
2022-05-29;0;4;37;1;2;False
2022-06-05;0;5;43;1;2;False
2022-06-12;0;4;45;1;2;False
2022-06-19;0;4;40;0;1;False
2022-06-26;0;5;50;1;2;False
2022-07-03;0;5;53;1;2;False
2022-07-10;0;5;52;1;2;False
2022-07-17;0;5;41;1;2;False
2022-07-24;0;5;37;1;2;False
2022-07-31;0;5;44;1;1;False
2022-08-07;0;4;46;0;1;False
2022-08-14;0;4;38;0;1;False
2022-08-21;0;5;39;1;1;False
2022-08-28;0;4;45;1;1;False
2022-09-04;1;5;40;1;1;False
2022-09-11;1;5;43;1;1;False
2022-09-18;2;5;48;1;1;False
2022-09-25;0;5;42;1;1;False
2022-10-02;1;5;42;1;1;False
2022-10-09;2;5;56;1;1;False
2022-10-16;1;5;47;1;1;False
2022-10-23;1;5;56;1;1;False
2022-10-30;0;5;46;0;1;False
2022-11-06;2;5;62;1;1;False
2022-11-13;1;5;65;1;1;False
2022-11-20;0;5;100;1;1;False
2022-11-27;1;6;82;1;1;False
2022-12-04;1;5;46;0;1;False
2022-12-11;1;4;43;1;1;False
2022-12-18;1;4;51;0;1;False
2022-12-25;1;5;57;0;1;False
2023-01-01;3;5;62;0;1;False
2023-01-08;2;4;47;1;1;False
2023-01-15;2;4;45;1;1;False
2023-01-22;3;4;51;1;1;False
2023-01-29;3;5;48;1;1;False
