date;Tornadoes;Robert Burns;Co-operative Group;Ben Whishaw;air travel;isPartial
2023-01-01;1;4;0;11;7;False
2023-01-02;0;4;0;2;8;False
2023-01-03;0;4;0;1;5;False
2023-01-04;1;3;0;0;8;False
2023-01-05;2;4;0;1;7;False
2023-01-06;1;5;0;1;7;False
2023-01-07;1;3;0;1;5;False
2023-01-08;2;3;0;2;8;False
2023-01-09;1;6;3;0;4;False
2023-01-10;2;4;0;1;7;False
2023-01-11;2;8;0;0;8;False
2023-01-12;2;9;1;0;7;False
2023-01-13;2;7;0;1;5;False
2023-01-14;1;5;1;1;5;False
2023-01-15;2;6;0;1;6;False
2023-01-16;1;10;0;0;6;False
2023-01-17;0;12;0;1;5;False
2023-01-18;1;12;0;1;7;False
2023-01-19;1;12;0;1;7;False
2023-01-20;1;13;1;1;5;False
2023-01-21;1;13;1;1;6;False
2023-01-22;1;14;0;3;6;False
2023-01-23;1;21;0;1;6;False
2023-01-24;1;33;0;1;5;False
2023-01-25;0;100;0;1;7;False
2023-01-26;1;22;0;0;6;False
2023-01-27;0;15;0;1;4;False
2023-01-28;2;11;0;1;6;False
2023-01-29;1;7;0;0;5;False
2023-01-30;1;6;0;0;9;False
2023-01-31;1;4;0;1;8;False
