date;Diets and dieting;travel chaos;Andrew Garfield;Abba;air travel;isPartial
2023-01-01;0;0;7;78;9;False
2023-01-02;0;0;4;61;11;False
2023-01-03;0;0;4;44;7;False
2023-01-04;0;0;4;46;10;False
2023-01-05;0;0;3;47;9;False
2023-01-06;0;0;4;54;9;False
2023-01-07;0;1;6;64;6;False
2023-01-08;0;0;3;61;10;False
2023-01-09;0;0;6;49;6;False
2023-01-10;0;1;6;40;9;False
2023-01-11;0;0;15;42;10;False
2023-01-12;0;0;37;45;9;False
2023-01-13;0;0;37;60;7;False
2023-01-14;0;0;23;61;7;False
2023-01-15;0;0;18;76;8;False
2023-01-16;0;0;12;50;8;False
2023-01-17;0;1;7;41;6;False
2023-01-18;0;0;8;38;9;False
2023-01-19;0;0;7;40;8;False
2023-01-20;0;1;8;57;7;False
2023-01-21;0;0;21;67;7;False
2023-01-22;0;0;11;67;8;False
2023-01-23;0;0;8;75;8;False
2023-01-24;0;0;6;57;6;False
2023-01-25;0;0;3;62;9;False
2023-01-26;0;0;5;64;8;False
2023-01-27;0;0;6;73;5;False
2023-01-28;0;2;7;100;8;False
2023-01-29;0;1;5;86;7;False
2023-01-30;0;0;4;74;12;False
2023-01-31;0;1;4;73;10;False
