date;Wales rugby union team;Tobacco industry;Guardian Careers;George Michael;air travel;isPartial
2022-01-02;1;0;1;51;23;False
2022-01-09;0;0;0;39;27;False
2022-01-16;1;0;1;28;20;False
2022-01-23;0;0;0;31;22;False
2022-01-30;0;0;0;27;25;False
2022-02-06;0;0;0;27;25;False
2022-02-13;0;0;1;38;25;False
2022-02-20;0;1;0;33;25;False
2022-02-27;1;0;0;25;22;False
2022-03-06;0;0;0;24;24;False
2022-03-13;0;0;1;29;23;False
2022-03-20;0;0;0;29;23;False
2022-03-27;0;1;0;27;24;False
2022-04-03;0;0;0;27;22;False
2022-04-10;0;0;0;28;19;False
2022-04-17;0;0;0;37;21;False
2022-04-24;0;1;1;33;22;False
2022-05-01;0;0;0;34;23;False
2022-05-08;0;1;1;30;23;False
2022-05-15;0;0;1;34;24;False
2022-05-22;0;0;0;28;23;False
2022-05-29;0;0;0;35;23;False
2022-06-05;0;0;1;34;26;False
2022-06-12;0;0;0;65;23;False
2022-06-19;0;0;1;73;21;False
2022-06-26;0;0;1;47;23;False
2022-07-03;0;0;0;32;24;False
2022-07-10;0;0;1;37;25;False
2022-07-17;0;0;0;31;24;False
2022-07-24;0;0;1;28;23;False
2022-07-31;0;0;0;31;21;False
2022-08-07;0;0;1;33;20;False
2022-08-14;0;0;1;29;20;False
2022-08-21;1;0;1;29;17;False
2022-08-28;0;0;0;28;19;False
2022-09-04;0;0;0;33;21;False
2022-09-11;0;0;0;32;18;False
2022-09-18;0;0;0;29;18;False
2022-09-25;0;0;1;35;18;False
2022-10-02;0;0;1;35;17;False
2022-10-09;0;0;0;27;17;False
2022-10-16;0;0;1;34;15;False
2022-10-23;0;0;1;32;14;False
2022-10-30;0;0;0;30;14;False
2022-11-06;0;0;0;35;15;False
2022-11-13;1;0;1;35;13;False
2022-11-20;1;1;0;31;16;False
2022-11-27;0;0;1;51;16;False
2022-12-04;0;0;0;41;13;False
2022-12-11;0;0;0;50;14;False
2022-12-18;0;0;0;80;13;False
2022-12-25;0;0;0;100;17;False
2023-01-01;0;0;0;33;20;False
2023-01-08;0;0;0;30;18;False
2023-01-15;1;0;0;35;18;False
2023-01-22;0;0;0;25;17;False
2023-01-29;1;0;1;28;18;False
