date;kyiv;beyonce;Francisco de Goya;Celebrity;air travel;isPartial
2023-01-01;4;15;0;100;4;False
2023-01-02;3;10;0;86;5;False
2023-01-03;2;9;1;74;3;False
2023-01-04;2;10;0;71;5;False
2023-01-05;4;9;0;61;4;False
2023-01-06;2;10;0;63;4;False
2023-01-07;3;10;0;75;3;False
2023-01-08;2;13;0;75;5;False
2023-01-09;3;8;0;54;3;False
2023-01-10;2;8;0;63;5;False
2023-01-11;2;6;0;58;5;False
2023-01-12;2;10;0;56;4;False
2023-01-13;3;11;0;68;3;False
2023-01-14;2;13;0;75;3;False
2023-01-15;2;10;0;68;4;False
2023-01-16;3;8;0;55;4;False
2023-01-17;2;10;0;55;3;False
2023-01-18;4;9;1;51;5;False
2023-01-19;3;9;0;59;4;False
2023-01-20;3;14;0;60;3;False
2023-01-21;2;21;0;73;4;False
2023-01-22;2;36;0;67;4;False
2023-01-23;2;52;0;92;4;False
2023-01-24;2;21;0;65;3;False
2023-01-25;2;18;0;59;4;False
2023-01-26;3;16;0;52;4;False
2023-01-27;4;15;0;59;3;False
2023-01-28;2;16;0;82;4;False
2023-01-29;1;14;0;85;3;False
2023-01-30;3;10;0;61;6;False
2023-01-31;3;16;0;58;5;False
