date;Ofsted;Conservation;Social exclusion;Santos;air travel;isPartial
2022-01-02;67;0;1;22;17;False
2022-01-09;84;0;1;22;19;False
2022-01-16;75;0;1;18;15;False
2022-01-23;75;0;1;21;16;False
2022-01-30;78;0;1;21;18;False
2022-02-06;75;0;0;19;18;False
2022-02-13;58;0;1;21;18;False
2022-02-20;60;0;1;21;19;False
2022-02-27;85;0;0;19;16;False
2022-03-06;74;0;1;24;17;False
2022-03-13;78;0;1;27;17;False
2022-03-20;79;0;1;21;17;False
2022-03-27;76;0;1;21;18;False
2022-04-03;59;0;1;23;16;False
2022-04-10;46;0;0;25;14;False
2022-04-17;66;0;1;23;16;False
2022-04-24;82;0;1;23;16;False
2022-05-01;78;0;1;25;17;False
2022-05-08;88;0;1;22;17;False
2022-05-15;83;0;1;26;18;False
2022-05-22;73;0;1;20;17;False
2022-05-29;42;0;0;21;17;False
2022-06-05;79;0;1;21;19;False
2022-06-12;77;0;0;23;17;False
2022-06-19;78;0;0;22;16;False
2022-06-26;81;0;0;23;17;False
2022-07-03;78;0;1;23;18;False
2022-07-10;79;0;0;24;18;False
2022-07-17;68;0;0;28;17;False
2022-07-24;53;0;0;21;17;False
2022-07-31;45;0;1;24;16;False
2022-08-07;44;0;0;24;15;False
2022-08-14;43;0;0;37;15;False
2022-08-21;48;0;0;22;13;False
2022-08-28;59;0;0;25;14;False
2022-09-04;91;0;0;29;15;False
2022-09-11;95;0;1;25;13;False
2022-09-18;90;0;0;18;13;False
2022-09-25;88;0;0;23;13;False
2022-10-02;95;0;1;24;13;False
2022-10-09;83;0;1;23;12;False
2022-10-16;82;0;1;22;11;False
2022-10-23;58;0;1;22;10;False
2022-10-30;78;0;1;21;10;False
2022-11-06;82;0;1;22;11;False
2022-11-13;82;0;1;22;10;False
2022-11-20;100;0;1;22;12;False
2022-11-27;74;0;1;27;12;False
2022-12-04;73;0;0;30;10;False
2022-12-11;68;0;1;29;10;False
2022-12-18;44;0;0;30;10;False
2022-12-25;30;0;0;57;13;False
2023-01-01;76;0;1;58;15;False
2023-01-08;97;0;1;43;14;False
2023-01-15;97;0;0;46;13;False
2023-01-22;100;0;1;57;12;False
2023-01-29;94;0;1;41;13;False
