date;jacinda ardern;Goodfellas;Work-life balance;pakistan;air travel;isPartial
2022-01-02;0;1;0;27;2;False
2022-01-09;0;1;0;28;3;False
2022-01-16;0;1;0;26;2;False
2022-01-23;2;1;0;29;2;False
2022-01-30;0;1;0;28;3;False
2022-02-06;0;1;0;28;3;False
2022-02-13;0;1;0;28;3;False
2022-02-20;0;1;0;35;3;False
2022-02-27;0;1;0;39;2;False
2022-03-06;0;1;0;42;2;False
2022-03-13;0;1;0;42;2;False
2022-03-20;0;1;0;44;2;False
2022-03-27;0;1;0;53;2;False
2022-04-03;0;1;0;61;2;False
2022-04-10;0;1;0;48;2;False
2022-04-17;0;1;0;32;2;False
2022-04-24;0;1;0;29;2;False
2022-05-01;0;1;0;30;2;False
2022-05-08;0;1;0;31;2;False
2022-05-15;0;1;0;35;2;False
2022-05-22;0;9;0;37;2;False
2022-05-29;0;4;0;34;2;False
2022-06-05;0;2;0;45;3;False
2022-06-12;0;1;0;39;2;False
2022-06-19;0;1;0;34;2;False
2022-06-26;1;1;0;33;2;False
2022-07-03;0;1;0;30;2;False
2022-07-10;0;2;0;32;3;False
2022-07-17;0;1;0;50;2;False
2022-07-24;1;3;0;55;2;False
2022-07-31;0;1;0;41;2;False
2022-08-07;0;1;0;35;2;False
2022-08-14;0;1;0;38;2;False
2022-08-21;0;1;0;40;2;False
2022-08-28;0;1;0;100;2;False
2022-09-04;0;1;0;90;2;False
2022-09-11;1;1;0;59;2;False
2022-09-18;2;1;0;76;2;False
2022-09-25;0;1;0;71;2;False
2022-10-02;0;1;0;58;2;False
2022-10-09;0;1;0;43;2;False
2022-10-16;0;1;0;49;2;False
2022-10-23;0;1;0;67;1;False
2022-10-30;0;1;0;52;1;False
2022-11-06;0;1;0;67;2;False
2022-11-13;0;1;0;64;1;False
2022-11-20;0;1;0;32;2;False
2022-11-27;1;1;0;60;2;False
2022-12-04;0;1;0;71;1;False
2022-12-11;2;1;0;56;1;False
2022-12-18;1;1;0;58;1;False
2022-12-25;0;7;0;47;2;False
2023-01-01;0;2;0;44;2;False
2023-01-08;0;2;0;45;2;False
2023-01-15;9;1;0;31;2;False
2023-01-22;2;1;0;43;2;False
2023-01-29;0;1;0;45;2;False
