date;Iran nuclear deal;Coventry City;Home insurance;unemployment;air travel;isPartial
2022-01-02;0;47;89;22;25;False
2022-01-09;0;44;88;26;27;False
2022-01-16;1;49;83;26;21;False
2022-01-23;1;58;85;25;23;False
2022-01-30;0;49;96;27;26;False
2022-02-06;2;46;86;25;26;False
2022-02-13;1;46;100;21;26;False
2022-02-20;1;53;97;25;27;False
2022-02-27;2;36;86;30;23;False
2022-03-06;10;50;83;29;25;False
2022-03-13;3;51;78;30;24;False
2022-03-20;2;31;76;32;24;False
2022-03-27;1;33;75;26;25;False
2022-04-03;1;35;74;25;23;False
2022-04-10;0;52;68;24;20;False
2022-04-17;1;48;63;24;22;False
2022-04-24;1;41;69;27;23;False
2022-05-01;1;44;76;30;24;False
2022-05-08;1;34;75;28;24;False
2022-05-15;1;29;75;31;25;False
2022-05-22;0;31;76;25;24;False
2022-05-29;1;30;70;22;25;False
2022-06-05;0;26;83;30;27;False
2022-06-12;0;26;80;24;24;False
2022-06-19;0;33;80;20;22;False
2022-06-26;1;36;84;17;24;False
2022-07-03;0;35;82;17;25;False
2022-07-10;0;37;84;18;26;False
2022-07-17;0;42;84;17;25;False
2022-07-24;0;40;91;15;25;False
2022-07-31;1;58;85;18;22;False
2022-08-07;1;73;86;17;21;False
2022-08-14;2;53;77;20;21;False
2022-08-21;2;52;81;16;18;False
2022-08-28;2;69;82;17;20;False
2022-09-04;1;34;86;19;22;False
2022-09-11;1;45;86;20;19;False
2022-09-18;0;31;79;21;18;False
2022-09-25;0;38;88;23;19;False
2022-10-02;0;52;87;25;18;False
2022-10-09;0;41;83;25;17;False
2022-10-16;1;58;80;23;16;False
2022-10-23;0;56;86;19;15;False
2022-10-30;0;58;83;26;14;False
2022-11-06;1;56;85;25;16;False
2022-11-13;0;43;83;29;14;False
2022-11-20;0;28;74;24;17;False
2022-11-27;0;34;76;24;17;False
2022-12-04;1;59;76;21;14;False
2022-12-11;0;42;79;21;15;False
2022-12-18;0;49;77;13;14;False
2022-12-25;1;66;67;11;18;False
2023-01-01;0;75;89;18;21;False
2023-01-08;0;51;86;23;19;False
2023-01-15;0;61;88;25;19;False
2023-01-22;0;54;78;25;17;False
2023-01-29;0;56;85;27;19;False
