date;Blondie;Californian food and drink;Borussia Dortmund;Young adult;air travel;isPartial
2023-01-01;59;0;30;22;51;False
2023-01-02;55;0;16;16;61;False
2023-01-03;56;0;19;13;39;False
2023-01-04;35;0;14;17;59;False
2023-01-05;58;0;13;12;49;False
2023-01-06;61;0;11;12;49;False
2023-01-07;68;0;15;17;36;False
2023-01-08;52;0;21;16;57;False
2023-01-09;42;0;16;18;33;False
2023-01-10;61;0;27;23;53;False
2023-01-11;45;0;21;28;60;False
2023-01-12;69;0;12;17;50;False
2023-01-13;56;0;47;28;40;False
2023-01-14;59;0;47;7;38;False
2023-01-15;49;0;19;9;44;False
2023-01-16;33;0;8;19;46;False
2023-01-17;37;0;8;30;37;False
2023-01-18;32;0;12;26;54;False
2023-01-19;42;0;7;20;49;False
2023-01-20;57;0;8;10;40;False
2023-01-21;100;0;17;24;42;False
2023-01-22;65;0;90;26;47;False
2023-01-23;43;0;29;20;48;False
2023-01-24;44;0;21;13;37;False
2023-01-25;60;0;68;14;51;False
2023-01-26;65;0;9;17;45;False
2023-01-27;62;0;16;49;32;False
2023-01-28;72;0;0;57;44;False
2023-01-29;67;0;46;24;40;False
2023-01-30;37;0;23;24;67;False
2023-01-31;45;0;15;25;56;False
