date;Watermill theatre;Real Betis;Prisons and probation;Waitrose;air travel;isPartial
2022-01-02;0;1;0;52;2;False
2022-01-09;0;2;0;41;3;False
2022-01-16;0;1;0;34;2;False
2022-01-23;0;0;0;40;2;False
2022-01-30;0;1;0;42;3;False
2022-02-06;0;1;0;42;3;False
2022-02-13;0;1;0;37;3;False
2022-02-20;0;1;0;38;3;False
2022-02-27;0;1;0;38;2;False
2022-03-06;0;2;0;39;2;False
2022-03-13;0;1;0;39;2;False
2022-03-20;0;0;0;44;2;False
2022-03-27;0;0;0;41;2;False
2022-04-03;0;1;0;40;2;False
2022-04-10;0;1;0;55;2;False
2022-04-17;0;2;0;47;2;False
2022-04-24;0;2;0;33;2;False
2022-05-01;0;2;0;44;2;False
2022-05-08;0;1;0;37;2;False
2022-05-15;0;3;0;38;2;False
2022-05-22;0;0;0;38;2;False
2022-05-29;0;0;0;60;2;False
2022-06-05;0;0;0;39;3;False
2022-06-12;0;0;0;39;2;False
2022-06-19;0;0;0;38;2;False
2022-06-26;0;0;0;38;2;False
2022-07-03;0;0;0;38;2;False
2022-07-10;0;0;0;43;3;False
2022-07-17;0;0;0;43;2;False
2022-07-24;0;1;0;39;2;False
2022-07-31;0;0;0;39;2;False
2022-08-07;0;0;0;41;2;False
2022-08-14;0;1;0;36;2;False
2022-08-21;0;1;0;41;2;False
2022-08-28;0;2;0;45;2;False
2022-09-04;0;1;0;38;2;False
2022-09-11;0;1;0;42;2;False
2022-09-18;0;1;0;44;2;False
2022-09-25;0;0;0;41;2;False
2022-10-02;0;1;0;38;2;False
2022-10-09;0;1;0;41;2;False
2022-10-16;0;1;0;41;2;False
2022-10-23;0;1;0;40;1;False
2022-10-30;0;1;0;43;1;False
2022-11-06;0;2;0;49;2;False
2022-11-13;0;0;0;51;1;False
2022-11-20;0;0;0;44;2;False
2022-11-27;0;0;0;50;2;False
2022-12-04;0;6;0;49;1;False
2022-12-11;0;1;0;66;1;False
2022-12-18;0;0;0;100;1;False
2022-12-25;0;0;0;65;2;False
2023-01-01;0;1;0;49;2;False
2023-01-08;0;4;0;37;2;False
2023-01-15;0;1;0;35;2;False
2023-01-22;0;1;0;34;2;False
2023-01-29;0;3;0;38;2;False
