date;autism;kate bush;Film industry;Accessories;air travel;isPartial
2022-01-02;48;4;1;76;6;False
2022-01-09;59;4;1;78;7;False
2022-01-16;57;5;1;71;5;False
2022-01-23;60;4;1;70;6;False
2022-01-30;68;5;1;80;7;False
2022-02-06;62;4;1;68;7;False
2022-02-13;56;4;1;72;7;False
2022-02-20;55;4;1;73;7;False
2022-02-27;57;4;1;70;6;False
2022-03-06;62;4;1;68;6;False
2022-03-13;63;3;1;76;6;False
2022-03-20;63;4;1;79;6;False
2022-03-27;73;4;1;69;6;False
2022-04-03;64;5;1;71;6;False
2022-04-10;56;4;1;72;5;False
2022-04-17;55;4;1;68;6;False
2022-04-24;62;4;1;67;6;False
2022-05-01;60;5;1;76;6;False
2022-05-08;63;6;1;73;6;False
2022-05-15;64;4;1;70;6;False
2022-05-22;55;7;1;73;6;False
2022-05-29;55;57;1;70;6;False
2022-06-05;60;72;1;71;7;False
2022-06-12;66;99;1;71;6;False
2022-06-19;59;100;1;67;6;False
2022-06-26;60;39;1;68;6;False
2022-07-03;62;29;1;70;6;False
2022-07-10;60;23;1;76;7;False
2022-07-17;54;16;0;71;6;False
2022-07-24;54;57;1;76;6;False
2022-07-31;54;26;1;70;6;False
2022-08-07;59;13;1;69;5;False
2022-08-14;56;9;1;67;5;False
2022-08-21;53;8;1;76;5;False
2022-08-28;57;8;1;80;5;False
2022-09-04;56;7;1;67;6;False
2022-09-11;61;7;1;69;5;False
2022-09-18;57;6;1;74;5;False
2022-09-25;61;6;1;68;5;False
2022-10-02;65;6;1;72;5;False
2022-10-09;64;6;1;74;4;False
2022-10-16;63;5;1;73;4;False
2022-10-23;55;6;1;75;4;False
2022-10-30;62;5;1;68;4;False
2022-11-06;69;5;1;77;4;False
2022-11-13;65;5;1;83;3;False
2022-11-20;60;4;1;84;4;False
2022-11-27;60;4;1;89;4;False
2022-12-04;60;5;1;83;4;False
2022-12-11;57;5;1;81;4;False
2022-12-18;50;6;1;70;3;False
2022-12-25;55;7;1;82;5;False
2023-01-01;63;6;1;73;5;False
2023-01-08;67;6;1;71;5;False
2023-01-15;72;5;1;75;5;False
2023-01-22;72;4;1;75;4;False
2023-01-29;65;5;1;72;5;False
