date;Three Billboards Outside Ebbing, Missouri;New Zealand politics;Ian Poulter;Debbie Harry;air travel;isPartial
2023-01-01;4;0;0;17;42;False
2023-01-02;0;0;0;21;49;False
2023-01-03;0;4;0;28;32;False
2023-01-04;0;6;4;16;48;False
2023-01-05;0;4;0;15;40;False
2023-01-06;0;0;3;31;40;False
2023-01-07;0;0;4;24;29;False
2023-01-08;0;0;0;15;46;False
2023-01-09;0;0;0;12;27;False
2023-01-10;3;0;3;8;43;False
2023-01-11;0;3;0;11;49;False
2023-01-12;0;0;0;12;40;False
2023-01-13;0;0;4;10;33;False
2023-01-14;5;0;0;17;30;False
2023-01-15;0;0;0;35;36;False
2023-01-16;0;0;13;7;37;False
2023-01-17;0;0;5;17;30;False
2023-01-18;6;0;0;13;43;False
2023-01-19;0;3;5;15;40;False
2023-01-20;0;0;9;87;32;False
2023-01-21;0;0;3;100;34;False
2023-01-22;0;0;0;24;38;False
2023-01-23;0;4;4;18;39;False
2023-01-24;0;0;5;5;30;False
2023-01-25;0;0;3;29;41;False
2023-01-26;0;4;2;15;37;False
2023-01-27;3;0;3;21;25;False
2023-01-28;0;0;9;22;36;False
2023-01-29;0;4;5;26;33;False
2023-01-30;3;0;15;8;54;False
2023-01-31;0;0;0;17;46;False
