date;Davos 2023;Student finance;Meat Loaf;Takács Quartet;air travel;isPartial
2022-01-02;0;27;1;0;5;False
2022-01-09;0;23;1;0;6;False
2022-01-16;0;21;100;0;4;False
2022-01-23;0;22;19;0;5;False
2022-01-30;0;23;5;0;5;False
2022-02-06;0;21;3;0;5;False
2022-02-13;0;20;2;0;5;False
2022-02-20;0;22;2;0;6;False
2022-02-27;0;33;1;0;5;False
2022-03-06;0;30;1;0;5;False
2022-03-13;0;37;1;0;5;False
2022-03-20;0;37;1;0;5;False
2022-03-27;0;38;2;0;5;False
2022-04-03;0;39;1;0;5;False
2022-04-10;0;38;2;0;4;False
2022-04-17;0;40;1;0;5;False
2022-04-24;0;35;1;0;5;False
2022-05-01;0;36;1;0;5;False
2022-05-08;0;39;1;0;5;False
2022-05-15;0;60;1;0;5;False
2022-05-22;0;36;1;0;5;False
2022-05-29;0;27;1;0;5;False
2022-06-05;0;35;1;0;6;False
2022-06-12;0;32;1;0;5;False
2022-06-19;0;37;1;0;5;False
2022-06-26;0;33;1;0;5;False
2022-07-03;0;29;1;0;5;False
2022-07-10;0;30;1;0;5;False
2022-07-17;0;27;1;0;5;False
2022-07-24;0;31;1;0;5;False
2022-07-31;0;31;1;0;5;False
2022-08-07;0;34;1;0;4;False
2022-08-14;0;45;1;0;4;False
2022-08-21;0;52;1;0;4;False
2022-08-28;0;58;1;0;4;False
2022-09-04;0;57;1;0;4;False
2022-09-11;0;80;1;0;4;False
2022-09-18;0;64;1;0;4;False
2022-09-25;0;61;1;0;4;False
2022-10-02;0;40;1;0;4;False
2022-10-09;0;32;2;0;4;False
2022-10-16;0;29;2;0;3;False
2022-10-23;0;26;1;0;3;False
2022-10-30;0;26;1;0;3;False
2022-11-06;0;24;1;0;3;False
2022-11-13;0;25;1;0;3;False
2022-11-20;0;21;1;0;4;False
2022-11-27;0;23;1;0;3;False
2022-12-04;0;22;1;0;3;False
2022-12-11;0;22;1;0;3;False
2022-12-18;0;22;2;0;3;False
2022-12-25;0;19;2;0;4;False
2023-01-01;0;30;1;0;4;False
2023-01-08;1;27;1;0;4;False
2023-01-15;3;24;1;0;4;False
2023-01-22;1;24;1;0;4;False
2023-01-29;0;24;1;0;4;False
