date;Childish Gambino;Spain holidays;Devon holidays;Elizabeth McGovern;air travel;isPartial
2022-01-02;9;65;26;3;46;False
2022-01-09;9;74;29;18;53;False
2022-01-16;11;74;24;5;39;False
2022-01-23;10;76;24;17;43;False
2022-01-30;10;80;20;4;49;False
2022-02-06;7;75;17;3;49;False
2022-02-13;9;68;19;3;49;False
2022-02-20;10;74;18;2;50;False
2022-02-27;8;67;19;1;44;False
2022-03-06;8;67;18;2;46;False
2022-03-13;18;76;18;2;46;False
2022-03-20;8;79;21;2;45;False
2022-03-27;12;79;22;1;47;False
2022-04-03;15;89;25;2;44;False
2022-04-10;12;85;25;2;37;False
2022-04-17;12;92;25;3;41;False
2022-04-24;11;89;19;9;43;False
2022-05-01;8;100;25;4;44;False
2022-05-08;10;95;21;2;46;False
2022-05-15;7;99;22;2;47;False
2022-05-22;9;99;26;1;45;False
2022-05-29;9;84;26;0;46;False
2022-06-05;8;86;25;0;51;False
2022-06-12;8;89;22;1;46;False
2022-06-19;9;89;24;2;41;False
2022-06-26;8;80;22;1;44;False
2022-07-03;9;79;27;4;47;False
2022-07-10;10;80;32;2;49;False
2022-07-17;9;74;31;2;46;False
2022-07-24;10;83;30;2;46;False
2022-07-31;7;72;31;1;41;False
2022-08-07;9;76;29;2;40;False
2022-08-14;8;64;24;3;39;False
2022-08-21;8;61;20;2;34;False
2022-08-28;7;63;19;1;38;False
2022-09-04;7;53;14;1;41;False
2022-09-11;8;49;14;1;35;False
2022-09-18;8;51;11;1;35;False
2022-09-25;7;49;10;1;35;False
2022-10-02;6;47;10;3;33;False
2022-10-09;7;46;10;1;33;False
2022-10-16;8;42;9;0;29;False
2022-10-23;8;39;10;2;27;False
2022-10-30;6;36;7;1;27;False
2022-11-06;10;37;7;1;30;False
2022-11-13;11;33;7;0;25;False
2022-11-20;8;22;6;0;32;False
2022-11-27;8;30;6;1;31;False
2022-12-04;10;27;6;1;26;False
2022-12-11;9;29;7;0;27;False
2022-12-18;9;34;9;0;25;False
2022-12-25;11;67;15;2;34;False
2023-01-01;11;96;24;2;39;False
2023-01-08;12;92;20;2;36;False
2023-01-15;12;84;22;4;35;False
2023-01-22;10;77;19;1;32;False
2023-01-29;9;69;19;1;35;False
